horizon,n,win_rate,median_return,mean_return,max_drawdown,sl_hit_rate,expectancy,edge_vs_spy_median,setup
30,59,0.5593,0.0127,0.0819,-0.6206,0.339,0.0819,-0.0405,s08_fda_regulatory
60,58,0.6034,0.0275,0.1492,-0.6332,0.4828,0.1492,-0.026,s08_fda_regulatory
90,57,0.6491,0.0584,0.1802,-0.3295,0.5614,0.1802,-0.0032,s08_fda_regulatory
30,762,0.4921,-0.0022,0.0102,-0.3601,0.336,0.0102,-0.0104,s11_buyback_announcement
60,735,0.5619,0.0202,0.0275,-0.5474,0.4667,0.0275,-0.0185,s11_buyback_announcement
90,702,0.5299,0.0145,0.0234,-0.6157,0.557,0.0234,-0.0316,s11_buyback_announcement
30,993,0.4431,-0.0278,0.0876,-0.9847,0.6747,0.0876,-0.0489,s09_short_squeeze_candidate
60,973,0.3977,-0.0684,0.0763,-1.0029,0.7945,0.0763,-0.1204,s09_short_squeeze_candidate
90,940,0.3947,-0.0975,0.0655,-1.0022,0.8394,0.0655,-0.1683,s09_short_squeeze_candidate
30,83,0.3976,-0.0168,-0.0362,-0.7675,0.7229,-0.0362,-0.044,s20_uplisting
60,80,0.375,-0.1261,-0.0172,-0.7814,0.7875,-0.0172,-0.1285,s20_uplisting
90,75,0.4133,-0.128,-0.0745,-0.7868,0.8267,-0.0745,-0.126,s20_uplisting
30,1150,0.4235,-0.0168,-0.0439,-0.9935,0.6104,-0.0439,-0.0568,s21_lockup_expiry
60,1111,0.4014,-0.0598,-0.0608,-0.9917,0.6877,-0.0608,-0.0963,s21_lockup_expiry
90,1056,0.392,-0.1024,-0.071,-0.9931,0.7339,-0.071,-0.1493,s21_lockup_expiry
