ticker,event_date,setup_type,consolidation_days
BLDR,2026-06-17,s02_consolidation,19
BKR,2026-06-16,s02_consolidation,15
AME,2026-06-15,s02_consolidation,18
APA,2026-06-12,s02_consolidation,17
AMCR,2026-06-10,s02_consolidation,15
AXP,2026-06-02,s02_consolidation,28
ADSK,2026-05-29,s02_consolidation,15
BG,2026-05-29,s02_consolidation,17
A,2026-05-27,s02_consolidation,19
AES,2026-05-04,s02_consolidation,23
ALGN,2026-04-10,s02_consolidation,19
ALL,2026-04-06,s02_consolidation,20
BNY,2026-03-31,s02_consolidation,34
AMZN,2026-03-26,s02_consolidation,20
BKNG,2026-03-26,s02_consolidation,15
BIIB,2026-03-25,s02_consolidation,18
AMD,2026-03-24,s02_consolidation,15
AVB,2026-03-10,s02_consolidation,22
BLK,2026-03-04,s02_consolidation,17
AVGO,2026-03-02,s02_consolidation,16
BRO,2026-01-26,s02_consolidation,15
BRK-B,2026-01-16,s02_consolidation,22
ATO,2026-01-14,s02_consolidation,16
LNT,2026-01-13,s02_consolidation,15
AEE,2026-01-12,s02_consolidation,16
ALLE,2026-01-07,s02_consolidation,19
APD,2026-01-02,s02_consolidation,15
MO,2026-01-02,s02_consolidation,26
APTV,2026-01-02,s02_consolidation,26
BXP,2025-12-30,s02_consolidation,15
AES,2025-12-24,s02_consolidation,30
ABBV,2025-12-23,s02_consolidation,19
AMZN,2025-12-16,s02_consolidation,17
AWK,2025-12-12,s02_consolidation,16
AFL,2025-12-09,s02_consolidation,15
BR,2025-12-02,s02_consolidation,16
ACN,2025-11-20,s02_consolidation,17
ARES,2025-11-13,s02_consolidation,18
AMP,2025-10-09,s02_consolidation,16
AVB,2025-10-07,s02_consolidation,18
AMD,2025-09-30,s02_consolidation,16
BKNG,2025-09-30,s02_consolidation,24
BDX,2025-09-24,s02_consolidation,19
AES,2025-09-23,s02_consolidation,15
LNT,2025-09-23,s02_consolidation,18
BMY,2025-09-17,s02_consolidation,18
ADBE,2025-09-16,s02_consolidation,24
BR,2025-09-15,s02_consolidation,15
ABNB,2025-09-10,s02_consolidation,20
ACN,2025-09-09,s02_consolidation,15
AMP,2025-09-04,s02_consolidation,19
AMGN,2025-09-03,s02_consolidation,18
AXON,2025-09-02,s02_consolidation,15
ALL,2025-07-30,s02_consolidation,24
AFL,2025-07-29,s02_consolidation,19
AVB,2025-07-29,s02_consolidation,31
AON,2025-07-24,s02_consolidation,29
APP,2025-07-16,s02_consolidation,17
AEE,2025-07-15,s02_consolidation,21
BRO,2025-07-15,s02_consolidation,20
