ticker,event_date,setup_type,spike_return,vol_x_sma50
ADBE,2017-10-19,s03_catalyst_rerating,0.1224,5.3
AMD,2020-07-24,s03_catalyst_rerating,0.165,3.52
AMD,2025-10-06,s03_catalyst_rerating,0.2371,4.26
AES,2025-07-09,s03_catalyst_rerating,0.1978,3.77
AES,2025-10-01,s03_catalyst_rerating,0.1679,5.86
AFL,2020-03-25,s03_catalyst_rerating,0.2618,3.05
AKAM,2017-12-18,s03_catalyst_rerating,0.1369,5.86
AKAM,2026-02-12,s03_catalyst_rerating,0.1035,3.59
ALB,2025-04-09,s03_catalyst_rerating,0.1913,3.05
AXP,2020-11-09,s03_catalyst_rerating,0.2139,3.88
AMP,2016-11-09,s03_catalyst_rerating,0.1242,3.47
APA,2019-09-16,s03_catalyst_rerating,0.1689,3.15
APA,2019-12-23,s03_catalyst_rerating,0.1729,3.42
APA,2020-03-10,s03_catalyst_rerating,0.1298,3.54
AAPL,2025-04-09,s03_catalyst_rerating,0.1533,3.13
APP,2021-10-07,s03_catalyst_rerating,0.1031,4.19
APTV,2020-03-19,s03_catalyst_rerating,0.2095,3.53
ARES,2017-01-19,s03_catalyst_rerating,0.1056,4.17
BBY,2025-04-09,s03_catalyst_rerating,0.1332,3.15
BIIB,2018-07-06,s03_catalyst_rerating,0.1963,7.2
BIIB,2020-11-04,s03_catalyst_rerating,0.4397,10.18
BIIB,2021-06-07,s03_catalyst_rerating,0.3834,13.2
BIIB,2022-09-28,s03_catalyst_rerating,0.3985,13.55
XYZ,2024-11-11,s03_catalyst_rerating,0.1186,3.3
BA,2020-03-23,s03_catalyst_rerating,0.1117,3.34
BKNG,2020-11-09,s03_catalyst_rerating,0.1875,4.29
AVGO,2023-05-26,s03_catalyst_rerating,0.1152,3.73
BLDR,2020-08-12,s03_catalyst_rerating,0.122,6.29
BG,2017-02-15,s03_catalyst_rerating,0.1003,5.4
BG,2017-05-23,s03_catalyst_rerating,0.166,5.6
BG,2018-01-19,s03_catalyst_rerating,0.1137,3.55
BG,2023-03-14,s03_catalyst_rerating,0.1448,22.03
COF,2024-11-06,s03_catalyst_rerating,0.1501,4.59
CCL,2020-03-10,s03_catalyst_rerating,0.1049,4.2
CCL,2020-04-07,s03_catalyst_rerating,0.1068,3.96
CCL,2020-11-09,s03_catalyst_rerating,0.3929,4.59
CCL,2023-06-12,s03_catalyst_rerating,0.1245,3.69
CVNA,2018-04-17,s03_catalyst_rerating,0.1136,3.87
CVNA,2020-09-22,s03_catalyst_rerating,0.3061,5.86
CVNA,2022-12-08,s03_catalyst_rerating,0.295,3.35
CVNA,2023-01-12,s03_catalyst_rerating,0.46,3.53
CVNA,2023-06-08,s03_catalyst_rerating,0.5602,8.5
CVNA,2025-12-08,s03_catalyst_rerating,0.1206,4.04
CNC,2020-03-04,s03_catalyst_rerating,0.156,3.04
CF,2026-03-12,s03_catalyst_rerating,0.1321,4.21
CMG,2018-02-14,s03_catalyst_rerating,0.1535,4.01
CI,2023-12-11,s03_catalyst_rerating,0.1668,4.48
CLX,2020-03-17,s03_catalyst_rerating,0.1327,4.0
COHR,2023-05-26,s03_catalyst_rerating,0.1402,3.97
COHR,2024-06-03,s03_catalyst_rerating,0.2285,5.32
COIN,2022-08-04,s03_catalyst_rerating,0.1001,3.61
COIN,2023-07-13,s03_catalyst_rerating,0.2449,3.95
COIN,2024-11-06,s03_catalyst_rerating,0.3111,3.69
COIN,2025-05-13,s03_catalyst_rerating,0.2397,4.14
COIN,2025-06-18,s03_catalyst_rerating,0.1632,3.25
FIX,2016-09-16,s03_catalyst_rerating,0.1319,5.1
CEG,2022-07-28,s03_catalyst_rerating,0.1632,3.1
CEG,2024-09-20,s03_catalyst_rerating,0.2229,4.28
CEG,2025-01-10,s03_catalyst_rerating,0.2516,4.36
CRWD,2025-09-18,s03_catalyst_rerating,0.1282,3.19
DHR,2016-07-05,s03_catalyst_rerating,0.6122,4.26
DDOG,2020-09-30,s03_catalyst_rerating,0.1236,5.88
DDOG,2025-07-03,s03_catalyst_rerating,0.1492,5.74
DVA,2017-12-06,s03_catalyst_rerating,0.1357,3.9
DELL,2020-07-16,s03_catalyst_rerating,0.1219,7.57
