ticker,event_date,setup_type
ADBE,2021-08-09,s03_catalyst_rerating_placebo
AMD,2016-07-05,s03_catalyst_rerating_placebo
AMD,2023-09-14,s03_catalyst_rerating_placebo
AES,2020-11-11,s03_catalyst_rerating_placebo
AES,2026-06-05,s03_catalyst_rerating_placebo
AFL,2021-10-11,s03_catalyst_rerating_placebo
AKAM,2016-07-05,s03_catalyst_rerating_placebo
AKAM,2019-01-28,s03_catalyst_rerating_placebo
ALB,2022-09-02,s03_catalyst_rerating_placebo
AXP,2018-05-31,s03_catalyst_rerating_placebo
AMP,2022-09-20,s03_catalyst_rerating_placebo
APA,2023-11-21,s03_catalyst_rerating_placebo
APA,2017-02-10,s03_catalyst_rerating_placebo
APA,2016-06-09,s03_catalyst_rerating_placebo
AAPL,2023-10-20,s03_catalyst_rerating_placebo
APP,2023-08-23,s03_catalyst_rerating_placebo
APTV,2025-07-21,s03_catalyst_rerating_placebo
BBY,2026-02-10,s03_catalyst_rerating_placebo
BIIB,2022-03-07,s03_catalyst_rerating_placebo
BIIB,2022-02-11,s03_catalyst_rerating_placebo
BIIB,2016-06-15,s03_catalyst_rerating_placebo
BIIB,2019-05-20,s03_catalyst_rerating_placebo
XYZ,2026-01-06,s03_catalyst_rerating_placebo
BKNG,2019-02-07,s03_catalyst_rerating_placebo
AVGO,2024-02-23,s03_catalyst_rerating_placebo
BLDR,2025-03-25,s03_catalyst_rerating_placebo
BG,2022-07-15,s03_catalyst_rerating_placebo
BG,2025-01-23,s03_catalyst_rerating_placebo
BG,2016-08-24,s03_catalyst_rerating_placebo
BG,2023-04-05,s03_catalyst_rerating_placebo
COF,2024-06-18,s03_catalyst_rerating_placebo
CCL,2016-10-26,s03_catalyst_rerating_placebo
CCL,2016-05-06,s03_catalyst_rerating_placebo
CCL,2016-08-31,s03_catalyst_rerating_placebo
CCL,2016-10-27,s03_catalyst_rerating_placebo
CVNA,2019-05-01,s03_catalyst_rerating_placebo
CVNA,2026-04-10,s03_catalyst_rerating_placebo
CVNA,2024-10-16,s03_catalyst_rerating_placebo
CVNA,2020-09-11,s03_catalyst_rerating_placebo
CNC,2021-06-21,s03_catalyst_rerating_placebo
CF,2023-05-22,s03_catalyst_rerating_placebo
CMG,2022-12-08,s03_catalyst_rerating_placebo
CI,2023-06-22,s03_catalyst_rerating_placebo
CLX,2020-10-09,s03_catalyst_rerating_placebo
COHR,2019-07-01,s03_catalyst_rerating_placebo
COHR,2020-01-24,s03_catalyst_rerating_placebo
COIN,2026-01-07,s03_catalyst_rerating_placebo
COIN,2024-10-10,s03_catalyst_rerating_placebo
COIN,2024-08-06,s03_catalyst_rerating_placebo
COIN,2024-07-09,s03_catalyst_rerating_placebo
COIN,2026-04-20,s03_catalyst_rerating_placebo
FIX,2019-07-19,s03_catalyst_rerating_placebo
CEG,2022-11-04,s03_catalyst_rerating_placebo
CEG,2024-07-11,s03_catalyst_rerating_placebo
CEG,2025-02-25,s03_catalyst_rerating_placebo
CRWD,2021-04-16,s03_catalyst_rerating_placebo
DHR,2022-06-29,s03_catalyst_rerating_placebo
DDOG,2024-06-06,s03_catalyst_rerating_placebo
DDOG,2022-12-09,s03_catalyst_rerating_placebo
DVA,2016-07-05,s03_catalyst_rerating_placebo
DELL,2018-10-25,s03_catalyst_rerating_placebo
DAL,2019-12-13,s03_catalyst_rerating_placebo
DVN,2023-05-30,s03_catalyst_rerating_placebo
