horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
10,2016,25,0.72,0.0208,0.024
10,2017,12,0.5,-0.0063,-0.0159
10,2018,20,0.75,0.0199,0.0269
10,2019,23,0.3913,-0.0089,-0.0182
10,2020,16,0.6875,0.0094,0.0132
10,2021,19,0.6316,-0.0007,0.0
10,2022,30,0.4,-0.0116,-0.0093
10,2023,30,0.5667,-0.0003,-0.0076
10,2024,30,0.4333,-0.0109,-0.0016
10,2025,18,0.5556,0.0027,-0.0208
10,2026,17,0.2353,-0.0649,-0.0413
30,2016,25,0.52,0.0091,0.0096
30,2017,12,0.4167,-0.0493,-0.0391
30,2018,20,0.7,0.0195,0.014
30,2019,23,0.3913,-0.0358,-0.0274
30,2020,16,0.625,0.0161,0.0386
30,2021,19,0.3684,-0.0417,-0.0309
30,2022,30,0.5667,-0.0086,0.0122
30,2023,30,0.4,-0.0292,-0.0228
30,2024,30,0.5667,0.0156,0.017
30,2025,18,0.4444,-0.0333,-0.0454
30,2026,15,0.3333,-0.0688,-0.1121
60,2016,25,0.6,0.0758,0.0435
60,2017,12,0.5833,-0.0448,-0.0391
60,2018,20,0.55,0.0095,0.0139
60,2019,23,0.4348,-0.0414,-0.021
60,2020,16,0.6875,0.1577,0.1382
60,2021,19,0.4211,-0.0736,-0.0295
60,2022,30,0.5,0.0203,0.0107
60,2023,30,0.6667,0.004,0.0095
60,2024,30,0.5,-0.0558,-0.0385
60,2025,18,0.6111,-0.0379,-0.0533
60,2026,10,0.1,-0.2195,-0.2071
90,2016,25,0.76,0.1154,0.0803
90,2017,12,0.5833,-0.0431,-0.031
90,2018,20,0.55,0.0288,0.0125
90,2019,23,0.4348,-0.0457,-0.0374
90,2020,16,0.8125,0.1772,0.2719
90,2021,19,0.5263,-0.0532,-0.0217
90,2022,30,0.5667,0.0488,0.0339
90,2023,30,0.7,-0.0191,0.0032
90,2024,30,0.5333,-0.0559,-0.0311
90,2025,18,0.6111,-0.0159,-0.046
90,2026,7,0.2857,-0.1345,-0.0482
