horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
10,2016,25,0.44,-0.018,-0.0204
10,2017,12,0.6667,0.0185,0.0279
10,2018,19,0.5263,0.0245,0.0319
10,2019,9,0.4444,-0.0263,0.0154
10,2020,69,0.4928,-0.0153,-0.0339
10,2021,18,0.5,-0.0121,0.0038
10,2022,19,0.2632,-0.0394,-0.0179
10,2023,23,0.6087,0.004,-0.0015
10,2024,26,0.6154,0.0092,0.0357
10,2025,32,0.5,-0.0217,0.0069
10,2026,12,0.3333,-0.0283,-0.0096
30,2016,25,0.4,-0.0346,-0.0183
30,2017,12,0.5,-0.0123,0.0172
30,2018,19,0.4211,-0.0117,0.0224
30,2019,9,0.5556,-0.0149,0.056
30,2020,69,0.6232,0.0116,-0.0142
30,2021,18,0.5556,-0.0244,-0.0285
30,2022,19,0.5789,0.0005,0.0106
30,2023,23,0.5652,-0.016,0.0171
30,2024,26,0.5385,-0.0022,0.0148
30,2025,32,0.6875,0.0177,0.0514
30,2026,8,0.375,-0.1093,-0.0592
60,2016,25,0.48,-0.0712,-0.0148
60,2017,12,0.6667,0.057,0.0611
60,2018,19,0.6316,0.0234,0.0434
60,2019,9,0.2222,-0.096,0.0222
60,2020,69,0.8116,0.0762,0.1476
60,2021,18,0.4444,-0.0589,-0.0465
60,2022,19,0.4737,-0.015,0.0246
60,2023,23,0.5652,-0.0235,0.0436
60,2024,26,0.6538,0.0339,0.0825
60,2025,32,0.75,-0.0005,0.1001
60,2026,6,0.1667,-0.2384,-0.1728
90,2016,25,0.64,-0.0487,0.0171
90,2017,12,0.5833,0.0488,0.0815
90,2018,19,0.6316,0.0415,0.0801
90,2019,9,0.4444,-0.0627,0.0364
90,2020,69,0.8261,0.0215,0.1162
90,2021,18,0.4444,-0.0945,-0.0204
90,2022,19,0.4737,-0.0558,0.007
90,2023,23,0.5217,-0.0569,0.0192
90,2024,26,0.5385,0.0728,0.0868
90,2025,32,0.6562,0.0118,0.2252
90,2026,2,0.5,-0.0885,-0.0885
