ticker,event_date,setup_type,pct_of_52wk_high
XLE,2016-02-22,s04_sector_rebound,0.7188
XLE,2020-04-28,s04_sector_rebound,0.5926
XLE,2020-06-25,s04_sector_rebound,0.6378
XLE,2020-08-10,s04_sector_rebound,0.652
XLE,2020-11-09,s04_sector_rebound,0.5717
XLE,2021-02-02,s04_sector_rebound,0.7757
XLF,2020-04-29,s04_sector_rebound,0.7564
XLF,2020-05-18,s04_sector_rebound,0.716
XLF,2020-06-30,s04_sector_rebound,0.7535
XLF,2022-10-24,s04_sector_rebound,0.799
XLK,2022-07-19,s04_sector_rebound,0.7682
XLK,2022-09-12,s04_sector_rebound,0.7926
XLK,2022-10-28,s04_sector_rebound,0.7386
XLK,2022-12-21,s04_sector_rebound,0.7299
XLK,2023-01-11,s04_sector_rebound,0.773
XLI,2020-04-29,s04_sector_rebound,0.7746
XLI,2020-05-18,s04_sector_rebound,0.7494
XLRE,2020-05-18,s04_sector_rebound,0.7807
XLRE,2022-11-10,s04_sector_rebound,0.7654
XLRE,2022-12-21,s04_sector_rebound,0.7375
XLRE,2023-01-06,s04_sector_rebound,0.7702
XLRE,2023-04-19,s04_sector_rebound,0.7697
XLC,2022-07-19,s04_sector_rebound,0.6693
XLC,2022-08-03,s04_sector_rebound,0.6747
XLC,2022-08-25,s04_sector_rebound,0.668
XLC,2022-11-11,s04_sector_rebound,0.6197
XLC,2023-01-04,s04_sector_rebound,0.6405
XLC,2023-03-14,s04_sector_rebound,0.7601
XLY,2022-07-19,s04_sector_rebound,0.7119
XLY,2022-09-07,s04_sector_rebound,0.7605
XLY,2022-11-30,s04_sector_rebound,0.6992
XLY,2023-01-11,s04_sector_rebound,0.6917
XLY,2023-03-21,s04_sector_rebound,0.7671
XLY,2023-04-11,s04_sector_rebound,0.7999
