ticker,event_date,setup_type,pct_of_52wk_high
XLE,2016-07-26,s04_sector_rebound_placebo,0.9649
XLE,2016-08-11,s04_sector_rebound_placebo,0.9788
XLE,2016-09-21,s04_sector_rebound_placebo,0.9589
XLE,2016-11-08,s04_sector_rebound_placebo,0.9665
XLE,2017-01-24,s04_sector_rebound_placebo,0.963
XLE,2018-06-18,s04_sector_rebound_placebo,0.9557
XLE,2018-07-03,s04_sector_rebound_placebo,0.9606
XLE,2018-07-25,s04_sector_rebound_placebo,0.9713
XLE,2018-08-29,s04_sector_rebound_placebo,0.9598
XLE,2018-09-18,s04_sector_rebound_placebo,0.9552
XLE,2021-12-07,s04_sector_rebound_placebo,0.9684
XLE,2022-01-03,s04_sector_rebound_placebo,0.9801
XLE,2023-02-10,s04_sector_rebound_placebo,0.9687
XLE,2023-10-13,s04_sector_rebound_placebo,0.9667
XLE,2024-05-17,s04_sector_rebound_placebo,0.9682
XLE,2025-11-26,s04_sector_rebound_placebo,0.9644
XLE,2025-12-17,s04_sector_rebound_placebo,0.9674
XLF,2016-09-15,s04_sector_rebound_placebo,0.9752
XLF,2016-10-05,s04_sector_rebound_placebo,0.9867
XLF,2016-11-07,s04_sector_rebound_placebo,1.0
XLF,2017-08-22,s04_sector_rebound_placebo,0.9776
XLF,2017-09-15,s04_sector_rebound_placebo,0.9796
XLF,2018-02-14,s04_sector_rebound_placebo,0.9566
XLF,2018-03-05,s04_sector_rebound_placebo,0.9559
XLF,2019-06-18,s04_sector_rebound_placebo,0.9587
XLF,2019-09-05,s04_sector_rebound_placebo,0.9568
XLF,2019-10-04,s04_sector_rebound_placebo,0.962
XLF,2020-01-30,s04_sector_rebound_placebo,0.9846
XLF,2021-06-25,s04_sector_rebound_placebo,0.9638
XLF,2021-07-12,s04_sector_rebound_placebo,0.9674
XLF,2021-08-03,s04_sector_rebound_placebo,0.964
XLF,2021-09-23,s04_sector_rebound_placebo,0.9791
XLF,2021-11-22,s04_sector_rebound_placebo,0.9742
XLF,2022-01-03,s04_sector_rebound_placebo,0.9778
XLF,2022-02-01,s04_sector_rebound_placebo,0.9561
XLF,2022-03-22,s04_sector_rebound_placebo,0.9559
XLF,2024-04-22,s04_sector_rebound_placebo,0.9703
XLF,2024-05-06,s04_sector_rebound_placebo,0.9751
XLF,2024-05-31,s04_sector_rebound_placebo,0.98
XLF,2024-06-18,s04_sector_rebound_placebo,0.9713
XLF,2024-08-08,s04_sector_rebound_placebo,0.9628
XLF,2024-12-24,s04_sector_rebound_placebo,0.9583
XLF,2025-01-15,s04_sector_rebound_placebo,0.9679
XLF,2025-03-25,s04_sector_rebound_placebo,0.9698
XLF,2025-08-04,s04_sector_rebound_placebo,0.9714
XLF,2025-10-14,s04_sector_rebound_placebo,0.9836
XLF,2025-11-11,s04_sector_rebound_placebo,0.983
XLF,2025-11-26,s04_sector_rebound_placebo,0.9782
XLF,2026-02-02,s04_sector_rebound_placebo,0.958
XLK,2016-05-24,s04_sector_rebound_placebo,0.972
XLK,2016-06-20,s04_sector_rebound_placebo,0.9718
XLK,2016-11-08,s04_sector_rebound_placebo,0.9879
XLK,2016-12-07,s04_sector_rebound_placebo,1.0
XLK,2017-04-17,s04_sector_rebound_placebo,0.9895
XLK,2017-06-28,s04_sector_rebound_placebo,0.9748
XLK,2018-02-14,s04_sector_rebound_placebo,0.9542
XLK,2018-05-04,s04_sector_rebound_placebo,0.959
XLK,2018-06-28,s04_sector_rebound_placebo,0.9636
XLK,2018-08-01,s04_sector_rebound_placebo,0.9639
XLK,2019-05-16,s04_sector_rebound_placebo,0.9634
XLK,2019-06-07,s04_sector_rebound_placebo,0.9659
XLK,2019-08-08,s04_sector_rebound_placebo,0.9594
XLK,2019-08-29,s04_sector_rebound_placebo,0.9613
XLK,2019-09-30,s04_sector_rebound_placebo,0.9762
XLK,2021-03-01,s04_sector_rebound_placebo,0.9734
XLK,2021-03-15,s04_sector_rebound_placebo,0.9583
XLK,2021-03-31,s04_sector_rebound_placebo,0.9603
XLK,2021-05-20,s04_sector_rebound_placebo,0.9548
XLK,2021-06-04,s04_sector_rebound_placebo,0.9762
XLK,2021-09-23,s04_sector_rebound_placebo,0.9823
XLK,2021-10-15,s04_sector_rebound_placebo,0.978
XLK,2023-08-29,s04_sector_rebound_placebo,0.9625
XLK,2024-04-05,s04_sector_rebound_placebo,0.98
XLK,2024-05-06,s04_sector_rebound_placebo,0.9727
XLK,2024-12-20,s04_sector_rebound_placebo,0.9773
XLK,2025-01-21,s04_sector_rebound_placebo,0.9793
XLK,2025-02-10,s04_sector_rebound_placebo,0.9768
XLK,2025-12-02,s04_sector_rebound_placebo,0.9512
XLK,2025-12-19,s04_sector_rebound_placebo,0.9509
XLK,2026-01-06,s04_sector_rebound_placebo,0.9659
XLK,2026-01-22,s04_sector_rebound_placebo,0.9542
XLV,2017-04-17,s04_sector_rebound_placebo,0.973
XLV,2017-05-19,s04_sector_rebound_placebo,0.9832
XLV,2017-08-16,s04_sector_rebound_placebo,0.9787
XLV,2017-08-30,s04_sector_rebound_placebo,0.9858
XLV,2017-11-28,s04_sector_rebound_placebo,0.9828
XLV,2018-10-16,s04_sector_rebound_placebo,0.9718
XLV,2018-11-07,s04_sector_rebound_placebo,0.9744
XLV,2018-11-28,s04_sector_rebound_placebo,0.9794
XLV,2019-03-28,s04_sector_rebound_placebo,0.9535
XLV,2019-05-06,s04_sector_rebound_placebo,0.9531
XLV,2019-09-11,s04_sector_rebound_placebo,0.9674
XLV,2019-10-15,s04_sector_rebound_placebo,0.9709
XLV,2020-02-04,s04_sector_rebound_placebo,0.972
XLV,2020-06-16,s04_sector_rebound_placebo,0.9617
XLV,2020-06-30,s04_sector_rebound_placebo,0.9642
XLV,2020-09-09,s04_sector_rebound_placebo,0.9667
XLV,2020-10-05,s04_sector_rebound_placebo,0.9752
XLV,2020-10-22,s04_sector_rebound_placebo,0.9846
XLV,2021-03-15,s04_sector_rebound_placebo,0.9738
XLV,2021-09-15,s04_sector_rebound_placebo,0.9734
XLV,2021-10-22,s04_sector_rebound_placebo,0.9655
XLV,2021-12-06,s04_sector_rebound_placebo,0.9614
XLV,2022-01-10,s04_sector_rebound_placebo,0.9593
XLV,2023-01-06,s04_sector_rebound_placebo,0.9616
XLV,2023-06-15,s04_sector_rebound_placebo,0.9513
XLV,2023-07-14,s04_sector_rebound_placebo,0.9515
XLV,2023-08-25,s04_sector_rebound_placebo,0.9639
XLV,2024-05-09,s04_sector_rebound_placebo,0.97
XLV,2024-05-31,s04_sector_rebound_placebo,0.9727
XLV,2024-07-05,s04_sector_rebound_placebo,0.9814
XLV,2024-08-08,s04_sector_rebound_placebo,0.9873
XLV,2024-10-09,s04_sector_rebound_placebo,0.9788
XLV,2026-02-02,s04_sector_rebound_placebo,0.9751
XLI,2016-05-16,s04_sector_rebound_placebo,0.977
XLI,2016-06-30,s04_sector_rebound_placebo,0.9855
XLI,2016-09-22,s04_sector_rebound_placebo,0.9881
XLI,2016-11-07,s04_sector_rebound_placebo,0.9847
XLI,2017-03-28,s04_sector_rebound_placebo,0.9747
XLI,2017-04-20,s04_sector_rebound_placebo,0.9802
XLI,2017-05-19,s04_sector_rebound_placebo,0.9886
XLI,2017-08-02,s04_sector_rebound_placebo,0.9853
XLI,2017-08-31,s04_sector_rebound_placebo,0.986
XLI,2017-11-21,s04_sector_rebound_placebo,0.9777
