horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2016,30,0.7667,0.0084,0.0135
30,2017,42,0.7857,0.0054,-0.0021
30,2018,29,0.4138,0.0056,0.003
30,2019,49,0.8571,-0.0038,-0.0019
30,2020,20,0.6,-0.0228,-0.0158
30,2021,54,0.7593,0.0042,0.0109
30,2022,15,0.4,0.0111,0.0273
30,2023,22,0.3636,-0.0222,-0.0238
30,2024,55,0.6545,-0.0171,-0.016
30,2025,51,0.5686,-0.0092,-0.0028
30,2026,16,0.3125,-0.0391,-0.032
60,2016,30,0.9333,0.0099,0.0154
60,2017,42,0.7857,-0.0066,-0.0187
60,2018,29,0.3103,-0.0045,-0.0045
60,2019,49,0.9388,0.0013,-0.0004
60,2020,20,0.6,-0.0339,-0.0399
60,2021,54,0.8148,0.0154,0.0239
60,2022,15,0.4667,0.0136,0.0433
60,2023,22,0.5,-0.0281,-0.0334
60,2024,55,0.6909,-0.0067,-0.013
60,2025,51,0.5882,-0.0135,0.0027
60,2026,10,0.4,-0.051,-0.0337
90,2016,30,0.8667,-0.0027,0.007
90,2017,42,0.7857,-0.0048,-0.0197
90,2018,29,0.4138,-0.0277,-0.0227
90,2019,49,0.8163,-0.0063,0.0017
90,2020,20,0.6,-0.0429,-0.0522
90,2021,54,0.7593,0.0026,0.0254
90,2022,15,0.2,0.0262,0.0618
90,2023,22,0.6818,-0.0281,-0.045
90,2024,55,0.7455,-0.0237,-0.017
90,2025,51,0.7255,0.0097,-0.0015
90,2026,9,0.3333,-0.0735,-0.0328
