horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2016,1,1.0,0.001,0.001
30,2020,10,0.9,-0.0003,-0.0082
30,2021,1,1.0,0.204,0.204
30,2022,14,0.3571,-0.0083,-0.0063
30,2023,8,0.75,0.0277,0.0125
60,2016,1,1.0,0.0831,0.0831
60,2020,10,0.8,-0.045,-0.0432
60,2021,1,1.0,0.1427,0.1427
60,2022,14,0.3571,-0.0133,-0.0191
60,2023,8,0.875,0.0513,0.0302
90,2016,1,1.0,0.1049,0.1049
90,2020,10,0.8,-0.0537,-0.0363
90,2021,1,1.0,0.2662,0.2662
90,2022,14,0.4286,-0.0399,-0.0266
90,2023,8,0.875,0.0393,0.0285
