ticker,event_date,setup_type,adsh,company_name
ADVB,2025-12-30,s05_spinoff,0001213900-25-126584,Advanced Biomed Inc.  (ADVB)  (CIK 0001941029)
GEHC,2023-01-04,s05_spinoff,0001193125-23-001161,GE HealthCare Technologies Inc.  (GEHC)  (CIK 0001932393)
BWA,2023-07-07,s05_spinoff,0001104659-23-079180,BORGWARNER INC  (BWA)  (CIK 0000908255)
FLEX,2026-05-05,s05_spinoff,0000866374-26-000009,FLEX LTD.  (FLEX)  (CIK 0000866374)
GEV,2024-04-02,s05_spinoff,0001193125-24-084048,GE Vernova Inc.  (GEV)  (CIK 0001996810)
STHO,2023-03-22,s05_spinoff,0001104659-23-035614,Star Holdings  (STHO)  (CIK 0001953366)
ADVB,2026-01-27,s05_spinoff,0001213900-26-008254,Advanced Biomed Inc.  (ADVB)  (CIK 0001941029)
DELL,2021-11-05,s05_spinoff,0001571996-21-000057,Dell Technologies Inc.  (DELL)  (CIK 0001571996)
FDXF,2026-05-13,s05_spinoff,0001104659-26-060223,"FedEx Freight Holding Company, Inc.  (FDXF)  (CIK 0002082247)"
XPO,2022-03-08,s05_spinoff,0001104659-22-031504,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
FDX,2026-05-13,s05_spinoff,0001104659-26-060233,FEDEX CORP  (FDX)  (CIK 0001048911)
ILMN,2024-06-27,s05_spinoff,0001110803-24-000037,"ILLUMINA, INC.  (ILMN)  (CIK 0001110803)"
SITC,2023-11-01,s05_spinoff,0001193125-23-268189,"SITE Centers Corp.  (SITC, SITC-PA)  (CIK 0000894315)"
HON,2025-10-22,s05_spinoff,0000773840-25-000099,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
FIS,2023-02-13,s05_spinoff,0001193125-23-034197,"Fidelity National Information Services, Inc.  (FIS)  (CIK 0001136893)"
LBTYA,2024-11-15,s05_spinoff,0001570585-24-000372,"Liberty Global Ltd.  (LBTYA, LBTYB, LBTYK, LBYAV, LBYKV)  (CIK 0001570585)"
HON,2026-03-06,s05_spinoff,0001193125-26-095179,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
XPO,2022-10-12,s05_spinoff,0001104659-22-107914,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
SNDK,2025-02-03,s05_spinoff,0001193125-25-019298,Sandisk Corp  (SNDK)  (CIK 0002023554)
CXT,2023-04-03,s05_spinoff,0001193125-23-089723,"Crane NXT, Co.  (CXT)  (CIK 0000025445)"
AMRZ,2025-06-23,s05_spinoff,0001140361-25-023352,Amrize Ltd  (AMRZ)  (CIK 0002035989)
GPGI,2025-03-05,s05_spinoff,0000950142-25-000636,"CompoSecure, Inc.  (CMPO, CMPOV, CMPOW)  (CIK 0001823144)"
SNDK,2025-02-24,s05_spinoff,0001193125-25-033433,"Sandisk Corp  (SNDK, SNDKV)  (CIK 0002023554)"
CR,2023-04-03,s05_spinoff,0001193125-23-089719,Crane Co  (CR)  (CIK 0001944013)
CVI,2022-11-21,s05_spinoff,0001376139-22-000072,CVR ENERGY INC  (CVI)  (CIK 0001376139)
HON,2025-10-30,s05_spinoff,0000773840-25-000109,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
PHIN,2023-07-07,s05_spinoff,0001104659-23-079187,PHINIA INC.  (PHIN)  (CIK 0001968915)
FDX,2026-01-16,s05_spinoff,0001104659-26-004325,FEDEX CORP  (FDX)  (CIK 0001048911)
ANAB,2026-04-20,s05_spinoff,0001193125-26-164330,"ANAPTYSBIO, INC  (ANAB, ANABV)  (CIK 0001370053)"
VYX,2023-09-28,s05_spinoff,0001193125-23-244174,"NCR CORP  (VYX, NCRRP)  (CIK 0000070866)"
XPO,2022-10-18,s05_spinoff,0000950142-22-002937,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
GPGI,2024-12-30,s05_spinoff,0001104659-24-132499,"CompoSecure, Inc.  (CMPO, CMPOW)  (CIK 0001823144)"
VSTS,2023-09-13,s05_spinoff,0001628280-23-032138,Vestis Corp  (VSTS)  (CIK 0001967649)
MACT,2023-09-05,s05_spinoff,0001193805-23-001251,"MachTen, Inc.  (MACT)  (CIK 0001957783)"
HON,2025-10-16,s05_spinoff,0000773840-25-000096,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
ARMK,2022-05-10,s05_spinoff,0001584509-22-000107,Aramark  (ARMK)  (CIK 0001584509)
PHIN,2023-06-13,s05_spinoff,0001628280-23-021990,PHINIA INC.  (PHIN)  (CIK 0001968915)
XPO,2022-08-04,s05_spinoff,0001104659-22-086147,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
LH,2022-07-28,s05_spinoff,0000920148-22-000038,LABORATORY CORP OF AMERICA HOLDINGS  (LH)  (CIK 0000920148)
O,2021-10-22,s05_spinoff,0001104659-21-129012,"REALTY INCOME CORP  (O, O-P)  (CIK 0000726728)"
FTV,2024-09-04,s05_spinoff,0001193125-24-213187,Fortive Corp  (FTV)  (CIK 0001659166)
XPO,2022-10-11,s05_spinoff,0000950142-22-002856,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
HON,2025-10-01,s05_spinoff,0000773840-25-000090,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
WDC,2025-02-24,s05_spinoff,0001193125-25-033383,"WESTERN DIGITAL CORP  (WDC, WDCVV)  (CIK 0000106040)"
KBR,2025-09-24,s05_spinoff,0001357615-25-000053,"KBR, INC.  (KBR)  (CIK 0001357615)"
FDXF,2026-06-01,s05_spinoff,0001104659-26-068521,"FedEx Freight Holding Company, Inc.  (FDXF)  (CIK 0002082247)"
FTAI,2022-04-28,s05_spinoff,0001140361-22-016649,"Fortress Transportation & Infrastructure Investors LLC  (FTAI, FTAIM, FTAIN, FTAIO, FTAIP)  (CIK 0001590364)"
RXO,2022-10-17,s05_spinoff,0000950142-22-002909,"RXO, Inc.  (RXO)  (CIK 0001929561)"
VGNT,2026-04-01,s05_spinoff,0001193125-26-138219,Versigent PLC  (VGNT)  (CIK 0002078008)
XTIA,2023-12-15,s05_spinoff,0001213900-23-096184,INPIXON  (XTIA)  (CIK 0001529113)
LGL,2022-10-14,s05_spinoff,0001564590-22-034299,"LGL GROUP INC  (LGL, LGL-WT)  (CIK 0000061004)"
HON,2025-11-03,s05_spinoff,0000773840-25-000117,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
HON,2026-06-05,s05_spinoff,0000773840-26-000072,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
VSTS,2023-09-11,s05_spinoff,0001628280-23-031931,Vestis Corp  (VSTS)  (CIK 0001967649)
NATL,2023-09-28,s05_spinoff,0001193125-23-244175,"NCR Atleos, LLC  (NATL)  (CIK 0001974138)"
WPC,2023-10-06,s05_spinoff,0001104659-23-107523,W. P. Carey Inc.  (WPC)  (CIK 0001025378)
XPO,2022-10-17,s05_spinoff,0000950142-22-002908,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
HON,2024-10-08,s05_spinoff,0000773840-24-000091,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
HON,2025-08-21,s05_spinoff,0000773840-25-000071,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
CTVA,2026-04-14,s05_spinoff,0001193125-26-153947,"Corteva, Inc.  (CTVA)  (CIK 0001755672)"
VYX,2023-10-17,s05_spinoff,0001193125-23-257806,"NCR CORP  (VYX, NCRRP)  (CIK 0000070866)"
TRAX,2026-04-20,s05_spinoff,0001193125-26-164328,"First Tracks Biotherapeutics, Inc.  (TRAX, TRAXV)  (CIK 0002091349)"
HON,2026-03-03,s05_spinoff,0000773840-26-000017,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
MIDD,2026-06-22,s05_spinoff,0001193125-26-276741,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
GEHC,2022-12-08,s05_spinoff,0001193125-22-301053,GE Healthcare Holding LLC  (GEHC)  (CIK 0001932393)
Q,2025-11-03,s05_spinoff,0001193125-25-261603,"Qnity Electronics, Inc.  (CIK 0002058873)"
GTEC,2024-02-15,s05_spinoff,0001213900-24-014561,"Greenland Technologies Holding Corp.  (GTEC, GTECW)  (CIK 0001735041)"
VGNT,2026-03-12,s05_spinoff,0001193125-26-104279,Versigent Ltd  (CIK 0002078008)
NATL,2023-09-22,s05_spinoff,0001193125-23-240650,"NCR Atleos, LLC  (NATL)  (CIK 0001974138)"
DD,2025-11-03,s05_spinoff,0001193125-25-261601,"DuPont de Nemours, Inc.  (DD)  (CIK 0001666700)"
JEF,2023-01-09,s05_spinoff,0001193125-23-004229,Jefferies Financial Group Inc.  (JEF)  (CIK 0000096223)
ZONE,2025-09-05,s05_spinoff,0001213900-25-085107,"CleanCore Solutions, Inc.  (ZONE)  (CIK 0001956741)"
SOLS,2025-10-17,s05_spinoff,0001628280-25-045287,Solstice Advanced Materials Inc.  (SOLS)  (CIK 0002064953)
VYX,2023-09-22,s05_spinoff,0001193125-23-240651,"NCR CORP  (VYX, NCRRP)  (CIK 0000070866)"
BWA,2023-08-02,s05_spinoff,0000908255-23-000041,BORGWARNER INC  (BWA)  (CIK 0000908255)
SITC,2024-10-02,s05_spinoff,0001193125-24-231147,"SITE Centers Corp.  (SITC, SITC-PA, SITC-WI)  (CIK 0000894315)"
GLIBA,2025-07-15,s05_spinoff,0001104659-25-067808,"GCI Liberty, Inc.  (GLBAV, GLBKV, GLIBA)  (CIK 0002057463)"
KD,2021-11-04,s05_spinoff,0001104659-21-134456,"Kyndryl Holdings, Inc.  (KD)  (CIK 0001867072)"
LGL,2021-08-16,s05_spinoff,0001564590-21-044721,"LGL GROUP INC  (LGL, LGL-WT)  (CIK 0000061004)"
NATL,2023-09-05,s05_spinoff,0001974138-23-000009,"NCR Atleos, LLC  (NATL)  (CIK 0001974138)"
XPO,2022-10-20,s05_spinoff,0001628280-22-026700,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
FDX,2026-06-23,s05_spinoff,0001048911-26-000050,FEDEX CORP  (FDX)  (CIK 0001048911)
LGL,2022-02-14,s05_spinoff,0001564590-22-004926,"LGL GROUP INC  (LGL, LGL-WT)  (CIK 0000061004)"
WDC,2023-10-30,s05_spinoff,0001193125-23-265708,WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040)
JEF,2022-12-19,s05_spinoff,0001193125-22-307610,Jefferies Financial Group Inc.  (JEF)  (CIK 0000096223)
APTV,2026-04-06,s05_spinoff,0001521332-26-000037,"Aptiv PLC  (APTV, APTV-WI)  (CIK 0001521332)"
DD,2025-08-12,s05_spinoff,0001193125-25-178844,"DuPont de Nemours, Inc.  (DD)  (CIK 0001666700)"
AMRZ,2025-06-02,s05_spinoff,0001140361-25-020994,Amrize Ltd  (AMRZ)  (CIK 0002035989)
GEV,2024-03-08,s05_spinoff,0001193125-24-063739,GE Vernova LLC  (GEV)  (CIK 0001996810)
MFP,2026-06-22,s05_spinoff,0001193125-26-276742,"Midera Food Processing, Inc.  (MFP)  (CIK 0002088281)"
VTS,2023-01-09,s05_spinoff,0001193125-23-004237,"Vitesse Energy, Inc.  (VTS)  (CIK 0001944558)"
FDX,2026-06-01,s05_spinoff,0001104659-26-068519,FEDEX CORP  (FDX)  (CIK 0001048911)
VANI,2025-03-13,s05_spinoff,0001753926-25-000438,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)"
VTS,2023-01-17,s05_spinoff,0001193125-23-008895,"Vitesse Energy, Inc.  (VTS)  (CIK 0001944558)"
TRAX,2026-04-03,s05_spinoff,0001193125-26-140835,"First Tracks Biotherapeutics, Inc.  (TRAX)  (CIK 0002091349)"
XPO,2022-03-28,s05_spinoff,0001104659-22-038391,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
VANI,2025-09-17,s05_spinoff,0001753926-25-001510,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)"
AFCG,2024-02-22,s05_spinoff,0001822523-24-000011,"AFC Gamma, Inc.  (AFCG)  (CIK 0001822523)"
NATL,2023-10-18,s05_spinoff,0001193125-23-257872,NCR Atleos Corp  (NATL)  (CIK 0001974138)
RHLD,2025-02-28,s05_spinoff,0000950142-25-000558,"Resolute Holdings Management, Inc.  (RHLD, RHLDV)  (CIK 0002039497)"
DD,2025-08-11,s05_spinoff,0001193125-25-177454,"DuPont de Nemours, Inc.  (DD)  (CIK 0001666700)"
LEN,2025-01-13,s05_spinoff,0001193125-25-004622,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)"
XPO,2022-10-19,s05_spinoff,0001104659-22-110028,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
LBRDA,2025-06-20,s05_spinoff,0001104659-25-060920,"Liberty Broadband Corp  (LBRDA, LBRDB, LBRDK, LBRDP)  (CIK 0001611983)"
RHLD,2025-02-14,s05_spinoff,0001104659-25-013546,"Resolute Holdings Management, Inc.  (RHLD)  (CIK 0002039497)"
LEN,2025-02-07,s05_spinoff,0001193125-25-022309,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)"
