ticker,event_date,setup_type,reason,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
MRVL,2026-06-22,s06_index_inclusion,Market capitalization change.[6],2026-06-23,278.82000732421875,30.0,exit_out_of_range,,,,,,,,,,
MRVL,2026-06-22,s06_index_inclusion,Market capitalization change.[6],2026-06-23,278.82000732421875,60.0,exit_out_of_range,,,,,,,,,,
MRVL,2026-06-22,s06_index_inclusion,Market capitalization change.[6],2026-06-23,278.82000732421875,90.0,exit_out_of_range,,,,,,,,,,
FLEX,2026-06-22,s06_index_inclusion,Market capitalization change.[6],2026-06-23,148.57000732421875,30.0,exit_out_of_range,,,,,,,,,,
FLEX,2026-06-22,s06_index_inclusion,Market capitalization change.[6],2026-06-23,148.57000732421875,60.0,exit_out_of_range,,,,,,,,,,
FLEX,2026-06-22,s06_index_inclusion,Market capitalization change.[6],2026-06-23,148.57000732421875,90.0,exit_out_of_range,,,,,,,,,,
FDXF,2026-06-01,s06_index_inclusion,S&P 500 & 100 constituent FedEx Corp. spun off FedEx Freight Holding.[7],2026-06-02,150.00999450683594,30.0,exit_out_of_range,,,,,,,,,,
FDXF,2026-06-01,s06_index_inclusion,S&P 500 & 100 constituent FedEx Corp. spun off FedEx Freight Holding.[7],2026-06-02,150.00999450683594,60.0,exit_out_of_range,,,,,,,,,,
FDXF,2026-06-01,s06_index_inclusion,S&P 500 & 100 constituent FedEx Corp. spun off FedEx Freight Holding.[7],2026-06-02,150.00999450683594,90.0,exit_out_of_range,,,,,,,,,,
VEEV,2026-05-07,s06_index_inclusion,S&P 500 constituent Devon Energy Corp. acquired Coterra Energy. [8][9],2026-05-08,165.0800018310547,30.0,,2026-06-23,159.7100067138672,-0.032529652638865536,-0.03552965263886554,False,-0.03552965263886554,True,-0.08721511300144325,0.0007346076878014252,-0.036264260326666964
