ticker,event_date,n_insiders,drawdown_pct,setup_type
ABR,2025-11-28,3,-0.2605,s07_insider_buying
ACVA,2025-11-14,3,-0.4864,s07_insider_buying
ADTN,2025-11-28,3,-0.2526,s07_insider_buying
ADV,2026-03-09,3,-0.4456,s07_insider_buying
AIRJ,2025-12-10,3,-0.5539,s07_insider_buying
ALIT,2025-11-26,3,-0.4071,s07_insider_buying
ALT,2026-04-06,3,-0.4612,s07_insider_buying
ARQ,2025-11-11,3,-0.5511,s07_insider_buying
ARX,2025-11-18,3,-0.5441,s07_insider_buying
AVTR,2026-03-10,3,-0.3532,s07_insider_buying
AZTA,2025-06-02,3,-0.3903,s07_insider_buying
BBWI,2025-11-21,4,-0.5281,s07_insider_buying
BEAT,2026-04-16,6,-0.6106,s07_insider_buying
BHVN,2025-11-13,3,-0.5538,s07_insider_buying
BJDX,2026-03-14,5,-0.5343,s07_insider_buying
BORR,2026-06-17,3,-0.354,s07_insider_buying
BRCB,2026-05-21,3,-0.6166,s07_insider_buying
BRR,2025-12-19,3,-0.7,s07_insider_buying
BSX,2026-05-20,3,-0.2626,s07_insider_buying
BZFD,2026-06-17,3,-0.311,s07_insider_buying
CABA,2026-01-21,4,-0.3518,s07_insider_buying
CELH,2026-05-22,3,-0.4435,s07_insider_buying
CHTR,2026-04-28,3,-0.3025,s07_insider_buying
CMTG,2026-03-02,3,-0.3511,s07_insider_buying
CNDT,2026-02-19,3,-0.3158,s07_insider_buying
COCH,2026-02-12,6,-0.3821,s07_insider_buying
CRVO,2025-11-12,3,-0.3068,s07_insider_buying
CSGP,2026-03-06,3,-0.2909,s07_insider_buying
CTEV,2025-11-20,3,-0.3768,s07_insider_buying
CVCO,2026-02-04,3,-0.2756,s07_insider_buying
EFOR,2026-04-24,9,-0.644,s07_insider_buying
EML,2025-12-16,3,-0.2626,s07_insider_buying
EOSE,2026-03-09,3,-0.6614,s07_insider_buying
EU,2026-06-11,3,-0.3568,s07_insider_buying
EVLV,2025-11-25,3,-0.2922,s07_insider_buying
FGBI,2025-12-31,4,-0.4227,s07_insider_buying
FLUT,2026-05-08,4,-0.3451,s07_insider_buying
FOSL,2025-11-20,4,-0.4107,s07_insider_buying
FRPT,2026-05-18,4,-0.4333,s07_insider_buying
GEHC,2026-05-01,3,-0.2754,s07_insider_buying
GLND,2026-05-08,3,-0.7646,s07_insider_buying
GO,2026-03-09,3,-0.4662,s07_insider_buying
GPGI,2026-03-17,3,-0.3353,s07_insider_buying
HBIO,2026-03-17,3,-0.3835,s07_insider_buying
HDSN,2026-05-14,3,-0.3459,s07_insider_buying
HEPA,2026-04-21,4,-0.3548,s07_insider_buying
HLNE,2026-02-20,4,-0.3043,s07_insider_buying
HROW,2026-05-18,4,-0.4297,s07_insider_buying
HUBS,2026-05-12,3,-0.3945,s07_insider_buying
HYPD,2025-12-18,3,-0.7464,s07_insider_buying
IBP,2026-05-11,4,-0.3961,s07_insider_buying
INR,2026-06-10,3,-0.2793,s07_insider_buying
INSE,2026-03-26,3,-0.3004,s07_insider_buying
INV,2025-12-02,3,-0.2626,s07_insider_buying
IPX,2026-03-27,4,-0.6149,s07_insider_buying
ITGR,2025-11-12,3,-0.3714,s07_insider_buying
IVFH,2026-01-06,4,-0.3043,s07_insider_buying
