ticker,event_date,n_insiders,drawdown_pct,setup_type
AAOI,2024-03-18,3,-0.4359,s07_insider_buying
AAP,2023-06-07,4,-0.4894,s07_insider_buying
ABCB,2023-05-10,3,-0.4056,s07_insider_buying
ABCL,2021-12-03,3,-0.343,s07_insider_buying
ABEO,2024-05-16,3,-0.47,s07_insider_buying
ACVA,2025-11-14,3,-0.4864,s07_insider_buying
ADMA,2021-10-25,4,-0.2545,s07_insider_buying
ADT,2023-05-04,5,-0.3977,s07_insider_buying
ADTN,2025-11-28,3,-0.2526,s07_insider_buying
ADV,2023-05-18,3,-0.295,s07_insider_buying
AEYE,2021-08-16,3,-0.4534,s07_insider_buying
AGL,2024-12-11,3,-0.5013,s07_insider_buying
AIM,2023-01-03,3,-0.4576,s07_insider_buying
AIMD,2021-12-20,3,-0.3316,s07_insider_buying
AIRJ,2025-12-10,3,-0.5539,s07_insider_buying
AIRS,2022-11-15,4,-0.7001,s07_insider_buying
ALB,2023-05-10,3,-0.3177,s07_insider_buying
ALGN,2022-11-02,3,-0.3907,s07_insider_buying
ALIT,2025-11-26,3,-0.4071,s07_insider_buying
ALT,2023-03-24,3,-0.7433,s07_insider_buying
ALTG,2022-05-13,3,-0.2502,s07_insider_buying
ALTI,2024-06-04,3,-0.2874,s07_insider_buying
AMN,2024-02-28,3,-0.2939,s07_insider_buying
AMPY,2025-03-07,3,-0.4196,s07_insider_buying
AMRC,2025-03-05,3,-0.6475,s07_insider_buying
AMRX,2021-12-17,3,-0.2701,s07_insider_buying
ANIK,2022-03-11,3,-0.3534,s07_insider_buying
AOUT,2021-12-13,4,-0.2959,s07_insider_buying
APEI,2023-03-21,4,-0.7041,s07_insider_buying
APPS,2021-08-19,3,-0.4025,s07_insider_buying
ARAY,2021-08-18,3,-0.2646,s07_insider_buying
AREN,2023-03-31,4,-0.605,s07_insider_buying
ARLO,2022-11-15,3,-0.3892,s07_insider_buying
ARX,2025-11-18,3,-0.5441,s07_insider_buying
ASLE,2023-08-17,4,-0.2967,s07_insider_buying
ASPI,2023-10-26,3,-0.386,s07_insider_buying
ASPS,2023-02-14,4,-0.7108,s07_insider_buying
ASTI,2023-09-28,5,-0.9169,s07_insider_buying
ATLN,2024-06-18,4,-0.41,s07_insider_buying
ATRA,2023-11-13,3,-0.8603,s07_insider_buying
AUID,2021-08-26,4,-0.3,s07_insider_buying
AUPH,2022-11-21,3,-0.43,s07_insider_buying
AVAH,2021-12-15,3,-0.259,s07_insider_buying
AVD,2024-05-16,3,-0.3297,s07_insider_buying
AVTR,2025-04-28,3,-0.4432,s07_insider_buying
AXGN,2023-09-06,3,-0.3587,s07_insider_buying
AZZ,2022-10-17,3,-0.254,s07_insider_buying
BAND,2022-03-08,3,-0.6337,s07_insider_buying
BARK,2022-06-06,3,-0.612,s07_insider_buying
BATL,2021-09-14,3,-0.4648,s07_insider_buying
BBIO,2021-12-29,4,-0.7343,s07_insider_buying
BBWI,2025-11-21,4,-0.5281,s07_insider_buying
