horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2021,70,0.4429,-0.0212,-0.0088
30,2022,117,0.5043,0.0418,0.0732
30,2023,88,0.6136,0.033,0.033
30,2024,52,0.4423,-0.0386,0.0214
30,2025,90,0.4778,-0.0289,0.0096
30,2026,38,0.5526,-0.0168,0.0023
60,2021,70,0.4,-0.0899,-0.0374
60,2022,117,0.5556,0.0506,0.1568
60,2023,88,0.6705,0.0462,0.0852
60,2024,52,0.5385,-0.0006,0.0342
60,2025,90,0.4667,-0.0714,-0.0328
60,2026,25,0.56,-0.0271,-0.047
90,2021,70,0.3571,-0.1742,-0.1049
90,2022,117,0.4872,0.0187,0.0963
90,2023,88,0.6705,-0.0144,0.0736
90,2024,52,0.5192,-0.076,-0.0191
90,2025,90,0.5556,-0.0633,-0.0003
90,2026,7,0.8571,0.17,0.1157
