ticker,event_date,decision_day_return
DCTH,2023-08-14,-0.01265829088137238
GILD,2025-06-18,0.0
INCY,2023-03-22,-0.01673691336634875
PFE,2024-10-11,-0.006135007480806309
ARDX,2023-10-17,-0.005763683216603255
BBIO,2024-11-22,0.007745279989179732
PFE,2023-10-12,-0.005738315562382135
ABBV,2025-02-07,-0.012281738599036474
AMGN,2023-10-31,-0.028458463726759198
ABBV,2025-05-14,-0.056170175034554015
GILD,2026-05-22,0.029578630622788538
ABBV,2021-09-28,-0.0035276007659315045
GILD,2022-12-22,0.00011736147646779216
VSTM,2025-05-08,0.037369207453171516
GILD,2025-06-18,0.0
AMGN,2024-05-28,-0.018473619557958898
REGN,2023-08-18,0.019667958425210186
ABBV,2026-05-27,0.010698192715531851
SCNX,2024-04-19,-0.07215010896751706
PHAT,2024-07-17,-0.00900168641144461
CYTK,2025-12-19,0.00836013587436324
AMGN,2024-05-16,-0.006534236523137116
PFE,2022-01-14,-0.010623016564952015
AZN,2023-01-10,0.009873205258820184
DNLI,2026-03-24,-0.005689940178529307
ABBV,2024-10-16,-0.007297027678507817
SCNX,2025-03-13,-0.01587300085546861
GKOS,2025-10-17,0.021563298938322317
IMCR,2022-01-25,0.013869678966670351
ABBV,2022-06-16,0.007676102621731129
ABBV,2021-10-28,0.01171591330468047
SIGA,2022-05-18,0.01510980292445474
INCY,2021-09-21,0.001975943739273456
AZN,2023-04-28,-0.007590248602369565
PFE,2024-03-07,-0.014711384059502897
INSM,2025-08-12,0.08069803046864843
AMGN,2023-10-31,-0.028458463726759198
AMGN,2025-08-29,0.007352604013592057
SNYNF,2021-07-16,0.0
CRMD,2023-11-15,0.06389770030435304
URGN,2025-06-12,0.5178081690694687
GILD,2022-12-22,0.00011736147646779216
PFE,2023-03-09,-0.016450728723231167
INCY,2026-05-01,0.017214307513700566
TGTX,2022-12-28,0.08184141335506223
PFE,2023-08-14,0.0008324688723064799
REGN,2023-08-18,0.019667958425210186
AZN,2022-08-03,0.0009192103815509611
BIIB,2023-08-04,0.004369798049428164
GERN,2024-06-06,-0.0274999737739563
GILD,2024-08-14,0.002162584309549187
AZN,2023-11-16,0.010612931988097651
AZN,2025-09-10,-0.005048107747382735
PFE,2023-06-23,-0.011102433717951943
PFE,2023-05-25,-0.020709577133597223
GKOS,2023-12-13,-0.03204101343589949
ABBV,2024-04-26,-0.045848561675089106
OMER,2025-12-23,-0.07991590016724903
MDWD,2022-12-28,0.11332174899573388
AMGN,2024-08-23,0.013157413935199536
INCY,2024-08-14,-0.013544020419025027
