ticker,event_date,setup_type,sponsor_name,application_number
DCTH,2023-08-14,s08_fda_regulatory,DELCATH SYSTEMS INC,NDA201848
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220020
INCY,2023-03-22,s08_fda_regulatory,INCYTE CORP,BLA761334
PFE,2024-10-11,s08_fda_regulatory,PFIZER INC,BLA761369
ARDX,2023-10-17,s08_fda_regulatory,ARDELYX INC,NDA213931
BBIO,2024-11-22,s08_fda_regulatory,BRIDGEBIO PHARMA,NDA216540
PFE,2023-10-12,s08_fda_regulatory,PFIZER,NDA216956
ABBV,2025-02-07,s08_fda_regulatory,ABBVIE,NDA217906
AMGN,2023-10-31,s08_fda_regulatory,AMGEN INC,BLA761285
ABBV,2025-05-14,s08_fda_regulatory,ABBVIE INC,BLA761384
GILD,2026-05-22,s08_fda_regulatory,GILEAD SCIENCES INC,BLA761468
ABBV,2021-09-28,s08_fda_regulatory,ABBVIE,NDA215206
GILD,2022-12-22,s08_fda_regulatory,GILEAD SCIENCES INC,NDA215974
VSTM,2025-05-08,s08_fda_regulatory,VERASTEM INC,NDA219616
GILD,2025-06-18,s08_fda_regulatory,GILEAD SCIENCES INC,NDA220018
AMGN,2024-05-28,s08_fda_regulatory,AMGEN INC,BLA761333
REGN,2023-08-18,s08_fda_regulatory,REGENERON PHARMACEUTICALS,BLA761339
ABBV,2026-05-27,s08_fda_regulatory,ABBVIE INC,BLA761460
SCNX,2024-04-19,s08_fda_regulatory,SCIENTURE,NDA215487
PHAT,2024-07-17,s08_fda_regulatory,PHATHOM PHARMACEUTICALS INC,NDA218710
CYTK,2025-12-19,s08_fda_regulatory,CYTOKINETICS,NDA219083
AMGN,2024-05-16,s08_fda_regulatory,AMGEN INC,BLA761344
PFE,2022-01-14,s08_fda_regulatory,PFIZER,NDA213871
AZN,2023-01-10,s08_fda_regulatory,ASTRAZENECA,NDA214070
DNLI,2026-03-24,s08_fda_regulatory,DENALI THERAPEUTICS INC.,BLA761485
ABBV,2024-10-16,s08_fda_regulatory,ABBVIE,NDA216962
SCNX,2025-03-13,s08_fda_regulatory,SCIENTURE,NDA218772
GKOS,2025-10-17,s08_fda_regulatory,GLAUKOS,NDA219910
IMCR,2022-01-25,s08_fda_regulatory,IMMUNOCORE LTD,BLA761228
CELG-RI,2022-03-18,s08_fda_regulatory,BRISTOL MYERS SQUIBB,BLA761234
ABBV,2022-06-16,s08_fda_regulatory,ABBVIE INC,BLA761262
ABBV,2021-10-28,s08_fda_regulatory,ABBVIE,NDA214028
SIGA,2022-05-18,s08_fda_regulatory,SIGA TECHNOLOGIES,NDA214518
INCY,2021-09-21,s08_fda_regulatory,INCYTE CORP,NDA215309
AZN,2023-04-28,s08_fda_regulatory,ASTRAZENECA,NDA216579
PFE,2024-03-07,s08_fda_regulatory,PFIZER,NDA217439
INSM,2025-08-12,s08_fda_regulatory,INSMED INC,NDA217673
ACOG,2024-07-26,s08_fda_regulatory,ALPHA COGNITION,NDA218549
AMGN,2023-10-31,s08_fda_regulatory,AMGEN INC,BLA761331
AMGN,2025-08-29,s08_fda_regulatory,AMGEN INC,NDA210745
SNYNF,2021-07-16,s08_fda_regulatory,SANOFI,NDA214429
CRMD,2023-11-15,s08_fda_regulatory,CORMEDIX,NDA214520
URGN,2025-06-12,s08_fda_regulatory,UROGEN PHARMA,NDA215793
GILD,2022-12-22,s08_fda_regulatory,GILEAD SCIENCES INC,NDA215973
PFE,2023-03-09,s08_fda_regulatory,PFIZER,NDA216386
INCY,2026-05-01,s08_fda_regulatory,INCYTE CORP,NDA217180
TGTX,2022-12-28,s08_fda_regulatory,"TG THERAPEUTICS, INC",BLA761238
PFE,2023-08-14,s08_fda_regulatory,PFIZER INC,BLA761345
REGN,2023-08-18,s08_fda_regulatory,REGENERON PHARMACEUTICALS,BLA761355
AZN,2022-08-03,s08_fda_regulatory,ASTRAZENECA,NDA216387
BIIB,2023-08-04,s08_fda_regulatory,BIOGEN,NDA217369
GERN,2024-06-06,s08_fda_regulatory,GERON,NDA217779
GILD,2024-08-14,s08_fda_regulatory,GILEAD SCIENCES INC,NDA217899
AZN,2023-11-16,s08_fda_regulatory,ASTRAZENECA,NDA218197
AZN,2025-09-10,s08_fda_regulatory,ASTRAZENECA,NDA219943
PFE,2023-06-23,s08_fda_regulatory,PFIZER,NDA215830
PFE,2023-05-25,s08_fda_regulatory,PFIZER,NDA217188
GKOS,2023-12-13,s08_fda_regulatory,GLAUKOS,NDA218010
ABBV,2024-04-26,s08_fda_regulatory,ABBVIE,NDA218347
OMER,2025-12-23,s08_fda_regulatory,OMEROS CORP,BLA761152
MDWD,2022-12-28,s08_fda_regulatory,"MEDIWOUND, LTD",BLA761192
AMGN,2024-08-23,s08_fda_regulatory,AMGEN INC,BLA761298
INCY,2024-08-14,s08_fda_regulatory,INCYTE CORP,BLA761411
