horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2021,4,0.75,0.0297,0.0056
30,2022,9,0.4444,-0.0366,0.222
30,2023,18,0.5,-0.0491,-0.0171
30,2024,13,0.4615,-0.0503,-0.0232
30,2025,13,0.7692,0.0056,0.1464
30,2026,2,0.5,-0.074,-0.074
60,2021,4,0.5,0.005,0.0225
60,2022,9,0.4444,-0.0246,0.298
60,2023,18,0.4444,-0.0723,-0.0493
60,2024,13,0.8462,0.0182,0.1171
60,2025,13,0.7692,0.0864,0.2173
60,2026,1,0.0,-0.113,-0.113
90,2021,4,0.75,0.1567,0.1503
90,2022,9,0.5556,0.1053,0.3513
90,2023,18,0.5,-0.1568,-0.061
90,2024,13,0.6154,-0.0499,-0.009
90,2025,13,0.9231,0.0947,0.2794
