ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct
AAOI,2022-06-08,s09_short_squeeze_candidate,2022-05-31,26.0,-0.3646
AAOI,2022-12-08,s09_short_squeeze_candidate,2022-11-30,24.41,-0.4149
ABCL,2024-04-23,s09_short_squeeze_candidate,2024-04-15,22.73,-0.2522
ABLV,2025-09-06,s09_short_squeeze_candidate,2025-08-29,20.07,-0.3259
ABSI,2022-07-23,s09_short_squeeze_candidate,2022-07-15,21.99,-0.57
ABSI,2022-10-22,s09_short_squeeze_candidate,2022-10-14,29.97,-0.4161
ACHV,2022-12-23,s09_short_squeeze_candidate,2022-12-15,23.6,-0.4357
ACHV,2023-11-08,s09_short_squeeze_candidate,2023-10-31,23.88,-0.2783
ACIC,2021-08-21,s09_short_squeeze_candidate,2021-08-13,28.07,-0.3397
ACRV,2023-05-06,s09_short_squeeze_candidate,2023-04-28,20.19,-0.4694
ACRV,2025-02-08,s09_short_squeeze_candidate,2025-01-31,34.14,-0.2917
ACTU,2026-03-07,s09_short_squeeze_candidate,2026-02-27,23.6,-0.5079
ADAG,2021-10-08,s09_short_squeeze_candidate,2021-09-30,20.09,-0.3054
ADCT,2022-01-08,s09_short_squeeze_candidate,2021-12-31,35.83,-0.3589
ADCT,2022-08-06,s09_short_squeeze_candidate,2022-07-29,21.97,-0.3956
ADCT,2022-11-08,s09_short_squeeze_candidate,2022-10-31,28.93,-0.5689
ADCT,2023-06-08,s09_short_squeeze_candidate,2023-05-31,23.38,-0.2813
ADCT,2023-09-08,s09_short_squeeze_candidate,2023-08-31,26.2,-0.5385
ADSE,2022-05-07,s09_short_squeeze_candidate,2022-04-29,26.77,-0.256
ADSE,2022-11-08,s09_short_squeeze_candidate,2022-10-31,45.93,-0.3547
ADV,2025-02-22,s09_short_squeeze_candidate,2025-02-14,30.96,-0.2695
ADV,2025-11-08,s09_short_squeeze_candidate,2025-10-31,20.66,-0.3469
AFJKU,2025-12-06,s09_short_squeeze_candidate,2025-11-28,257.4,-0.4455
AFJKU,2026-03-07,s09_short_squeeze_candidate,2026-02-27,66.71,-0.5225
AGL,2024-01-06,s09_short_squeeze_candidate,2023-12-29,20.54,-0.3662
AIHS,2024-04-23,s09_short_squeeze_candidate,2024-04-15,21.93,-0.2546
AIHS,2024-11-23,s09_short_squeeze_candidate,2024-11-15,61.48,-0.4234
AIHS,2026-06-06,s09_short_squeeze_candidate,2026-05-29,26.61,-0.3314
AIP,2022-07-23,s09_short_squeeze_candidate,2022-07-15,30.34,-0.5023
AIRS,2023-04-08,s09_short_squeeze_candidate,2023-03-31,20.28,-0.3538
AIRS,2023-11-08,s09_short_squeeze_candidate,2023-10-31,24.56,-0.3296
AIRS,2024-05-23,s09_short_squeeze_candidate,2024-05-15,30.6,-0.3814
AKA,2024-04-05,s09_short_squeeze_candidate,2024-03-28,24.58,-0.2718
ALEC,2021-10-23,s09_short_squeeze_candidate,2021-10-15,20.85,-0.289
ALLO,2022-11-08,s09_short_squeeze_candidate,2022-10-31,23.85,-0.4039
ALLO,2023-02-23,s09_short_squeeze_candidate,2023-02-15,29.1,-0.3287
ALLO,2023-09-08,s09_short_squeeze_candidate,2023-08-31,24.08,-0.3473
ALLO,2024-08-23,s09_short_squeeze_candidate,2024-08-15,22.26,-0.3429
ALMS,2025-01-23,s09_short_squeeze_candidate,2025-01-15,25.67,-0.4045
ALPP,2022-06-08,s09_short_squeeze_candidate,2022-05-31,20.54,-0.6054
ALPP,2022-09-08,s09_short_squeeze_candidate,2022-08-31,25.77,-0.255
ALPP,2022-12-08,s09_short_squeeze_candidate,2022-11-30,26.48,-0.2578
ALPP,2023-03-23,s09_short_squeeze_candidate,2023-03-15,27.79,-0.36
ALPP,2023-06-23,s09_short_squeeze_candidate,2023-06-15,37.61,-0.3197
ALPP,2023-10-21,s09_short_squeeze_candidate,2023-10-13,26.31,-0.7101
ALPP,2024-03-23,s09_short_squeeze_candidate,2024-03-15,26.56,-0.3764
ALPP,2024-06-22,s09_short_squeeze_candidate,2024-06-14,21.47,-0.3618
ALPP,2024-09-21,s09_short_squeeze_candidate,2024-09-13,37.94,-0.3466
ALUR,2023-11-23,s09_short_squeeze_candidate,2023-11-15,25.31,-0.3027
ALXO,2023-04-22,s09_short_squeeze_candidate,2023-04-14,25.81,-0.5
ALXO,2023-08-08,s09_short_squeeze_candidate,2023-07-31,23.19,-0.3609
ALXO,2024-10-23,s09_short_squeeze_candidate,2024-10-15,22.15,-0.7963
AMPE,2021-07-23,s09_short_squeeze_candidate,2021-07-15,21.22,-0.2626
AMPGW,2023-11-23,s09_short_squeeze_candidate,2023-11-15,23.25,-0.6269
AMPGW,2024-08-08,s09_short_squeeze_candidate,2024-07-31,332.72,-0.6571
AMPGW,2024-11-23,s09_short_squeeze_candidate,2024-11-15,21.69,-0.5
