ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
AAOI,2022-06-08,s09_short_squeeze_candidate,2022-05-31,26.0,-0.3646,2022-06-09,2.380000114440918,30,2022-07-25,1.649999976158142,-0.30672273242905246,-0.30972273242905246,True,-0.10300000000000009,True,-0.15571469831294937,-0.029465148145531916,-0.28025758428352054,
AAOI,2022-06-08,s09_short_squeeze_candidate,2022-05-31,26.0,-0.3646,2022-06-09,2.380000114440918,60,2022-09-06,2.1500000953674316,-0.096638658829441,-0.099638658829441,True,-0.10300000000000009,True,-0.15571469831294937,-0.041266496936003594,-0.05837216189343741,
AAOI,2022-06-08,s09_short_squeeze_candidate,2022-05-31,26.0,-0.3646,2022-06-09,2.380000114440918,90,2022-10-18,2.9200000762939453,0.2268907293644722,0.22389072936447219,True,-0.10300000000000009,True,-0.15571469831294937,-0.08568863634352386,0.30957936570799605,
AAOI,2022-12-08,s09_short_squeeze_candidate,2022-11-30,24.41,-0.4149,2022-12-09,2.1500000953674316,30,2023-01-25,2.200000047683716,0.02325579074346007,0.02025579074346007,True,-0.10299999999999998,True,-0.14755182672917966,0.018353385210495787,0.0019024055329642832,
AAOI,2022-12-08,s09_short_squeeze_candidate,2022-11-30,24.41,-0.4149,2022-12-09,2.1500000953674316,60,2023-03-09,2.809999942779541,0.3069766595983878,0.3039766595983878,True,-0.10299999999999998,True,-0.14755182672917966,-0.00400549776570347,0.3079821573640913,
AAOI,2022-12-08,s09_short_squeeze_candidate,2022-11-30,24.41,-0.4149,2022-12-09,2.1500000953674316,90,2023-04-21,2.140000104904175,-0.004651158148691992,-0.007651158148691992,True,-0.10299999999999998,True,-0.14755182672917966,0.05249717548324351,-0.0601483336319355,
ABCL,2024-04-23,s09_short_squeeze_candidate,2024-04-15,22.73,-0.2522,2024-04-24,4.010000228881836,30,2024-06-06,3.7799999713897705,-0.05735666941749762,-0.06035666941749762,True,-0.10299999999999998,False,-0.06035666941749762,0.05547229511122875,-0.11582896452872637,
ABCL,2024-04-23,s09_short_squeeze_candidate,2024-04-15,22.73,-0.2522,2024-04-24,4.010000228881836,60,2024-07-22,3.009999990463257,-0.24937660382563698,-0.252376603825637,True,-0.10299999999999998,True,-0.11586343861770576,0.0984668028409843,-0.3508434066666213,
ABCL,2024-04-23,s09_short_squeeze_candidate,2024-04-15,22.73,-0.2522,2024-04-24,4.010000228881836,90,2024-09-03,2.5,-0.37655863907591103,-0.37955863907591103,True,-0.10299999999999998,True,-0.11586343861770576,0.0933771373209078,-0.47293577639681883,
ABLV,2025-09-06,s09_short_squeeze_candidate,2025-08-29,20.07,-0.3259,2025-09-09,0.8799999952316284,30,2025-10-21,1.0399999618530273,0.18181814487315395,0.17881814487315395,False,0.17881814487315395,False,0.17881814487315395,0.037260774667915,0.14155737020523895,
ABLV,2025-09-06,s09_short_squeeze_candidate,2025-08-29,20.07,-0.3259,2025-09-09,0.8799999952316284,60,2025-12-03,0.7200000286102295,-0.18181814487315384,-0.18481814487315384,True,-0.10299999999999998,True,-0.14766989572457667,0.05673006744461517,-0.24154821231776902,
ABLV,2025-09-06,s09_short_squeeze_candidate,2025-08-29,20.07,-0.3259,2025-09-09,0.8799999952316284,90,2026-01-16,0.7020000219345093,-0.20227269802458014,-0.20527269802458015,True,-0.10299999999999998,True,-0.14766989572457667,0.07189400326279705,-0.2771667012873772,
ABSI,2022-07-23,s09_short_squeeze_candidate,2022-07-15,21.99,-0.57,2022-07-26,3.200000047683716,30,2022-09-07,3.7899999618530273,0.18437497043050866,0.18137497043050865,False,0.18137497043050865,False,0.18137497043050865,0.010004260378083663,0.171370710052425,
ABSI,2022-07-23,s09_short_squeeze_candidate,2022-07-15,21.99,-0.57,2022-07-26,3.200000047683716,60,2022-10-19,3.1500000953674316,-0.015624984866008385,-0.018624984866008384,True,-0.10299999999999987,False,-0.018624984866008384,-0.06049716637485114,0.041872181508842754,
ABSI,2022-07-23,s09_short_squeeze_candidate,2022-07-15,21.99,-0.57,2022-07-26,3.200000047683716,90,2022-12-01,2.5299999713897705,-0.20937502072192693,-0.21237502072192693,True,-0.10299999999999987,True,-0.17298610620648236,0.038628676704230314,-0.25100369742615725,
ABSI,2022-10-22,s09_short_squeeze_candidate,2022-10-14,29.97,-0.4161,2022-10-25,2.630000114440918,30,2022-12-07,2.549999952316284,-0.030418311271305787,-0.03341831127130579,True,-0.10299999999999998,False,-0.03341831127130579,0.03793656059922501,-0.0713548718705308,
ABSI,2022-10-22,s09_short_squeeze_candidate,2022-10-14,29.97,-0.4161,2022-10-25,2.630000114440918,60,2023-01-23,3.0899999141693115,0.17490485920612953,0.17190485920612952,True,-0.10299999999999998,True,-0.25134843695802134,0.06251400103894067,0.10939085816718885,
ABSI,2022-10-22,s09_short_squeeze_candidate,2022-10-14,29.97,-0.4161,2022-10-25,2.630000114440918,90,2023-03-07,2.140000104904175,-0.18631178259127446,-0.18931178259127446,True,-0.10299999999999998,True,-0.25134843695802134,0.056255201269711286,-0.24556698386098574,
ACHV,2022-12-23,s09_short_squeeze_candidate,2022-12-15,23.6,-0.4357,2022-12-27,2.430000066757202,30,2023-02-09,5.260000228881836,1.1646090882216416,1.1616090882216417,False,1.1616090882216417,False,1.1616090882216417,0.06348141203498403,1.0981276761866576,
ACHV,2022-12-23,s09_short_squeeze_candidate,2022-12-15,23.6,-0.4357,2022-12-27,2.430000066757202,60,2023-03-24,4.920000076293945,1.0246913337988546,1.0216913337988547,False,1.0216913337988547,False,1.0216913337988547,0.037802437420669355,0.9838888963781853,
ACHV,2022-12-23,s09_short_squeeze_candidate,2022-12-15,23.6,-0.4357,2022-12-27,2.430000066757202,90,2023-05-08,8.739999771118164,2.596707625930875,2.593707625930875,False,2.593707625930875,False,2.593707625930875,0.08235654436655149,2.5113510815643236,
ACHV,2023-11-08,s09_short_squeeze_candidate,2023-10-31,23.88,-0.2783,2023-11-09,4.289999961853027,30,2023-12-22,3.6700000762939453,-0.1445221191310404,-0.1475221191310404,True,-0.10299999999999998,True,-0.1189280031844997,0.08471220194597473,-0.23223432107701514,
ACHV,2023-11-08,s09_short_squeeze_candidate,2023-10-31,23.88,-0.2783,2023-11-09,4.289999961853027,60,2024-02-07,4.389999866485596,0.02331000128712679,0.020310001287126792,True,-0.10299999999999998,True,-0.1189280031844997,0.14070544310586963,-0.12039544181874284,
