horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2021,66,0.3939,-0.0631,-0.0602
30,2022,273,0.4982,-0.0049,0.0135
30,2023,238,0.4874,-0.0606,0.0473
30,2024,194,0.3608,-0.0849,0.2091
30,2025,153,0.4314,-0.0158,0.1054
30,2026,69,0.3768,-0.0489,-0.0093
60,2021,66,0.2576,-0.1904,-0.1602
60,2022,273,0.4066,-0.0547,-0.0238
60,2023,238,0.4622,-0.1088,0.0282
60,2024,194,0.3557,-0.1654,0.19
60,2025,153,0.3922,-0.1053,0.0559
60,2026,49,0.4082,-0.1265,0.0083
90,2021,66,0.1515,-0.3524,-0.3108
90,2022,273,0.3956,-0.1048,-0.0405
90,2023,238,0.458,-0.1753,-0.0016
90,2024,194,0.3557,-0.1977,0.1306
90,2025,153,0.4706,-0.0819,0.1192
90,2026,16,0.1875,-0.2786,-0.263
