ticker,event_date,setup_type,adsh,company_name
A,2023-01-09,s11_buyback_announcement,0000950170-23-000508,"AGILENT TECHNOLOGIES, INC.  (A)  (CIK 0001090872)"
A,2024-09-03,s11_buyback_announcement,0001090872-24-000036,"AGILENT TECHNOLOGIES, INC.  (A)  (CIK 0001090872)"
A,2025-03-03,s11_buyback_announcement,0001090872-25-000010,"AGILENT TECHNOLOGIES, INC.  (A)  (CIK 0001090872)"
ABT,2024-10-16,s11_buyback_announcement,0001628280-24-042893,ABBOTT LABORATORIES  (ABT)  (CIK 0000001800)
ABX,2023-12-12,s11_buyback_announcement,0001814287-23-000053,"Abacus Life, Inc.  (ABL, ABLLL, ABLLW)  (CIK 0001814287)"
ABX,2025-11-07,s11_buyback_announcement,0001628280-25-050621,"Abacus Global Management, Inc.  (ABL, ABLLL)  (CIK 0001814287)"
ABX,2026-01-30,s11_buyback_announcement,0001628280-26-004416,"Abacus Global Management, Inc.  (ABX, ABXL)  (CIK 0001814287)"
ACNT,2025-02-18,s11_buyback_announcement,0000095953-25-000002,ASCENT INDUSTRIES CO.  (ACNT)  (CIK 0000095953)
ACNT,2025-12-19,s11_buyback_announcement,0000095953-25-000132,ASCENT INDUSTRIES CO.  (ACNT)  (CIK 0000095953)
ACT,2023-08-01,s11_buyback_announcement,0001823529-23-000154,"Enact Holdings, Inc.  (ACT)  (CIK 0001823529)"
ACT,2023-11-01,s11_buyback_announcement,0001823529-23-000208,"Enact Holdings, Inc.  (ACT)  (CIK 0001823529)"
ACT,2024-05-01,s11_buyback_announcement,0001823529-24-000101,"Enact Holdings, Inc.  (ACT)  (CIK 0001823529)"
ACT,2024-07-31,s11_buyback_announcement,0001823529-24-000157,"Enact Holdings, Inc.  (ACT)  (CIK 0001823529)"
ACT,2025-04-30,s11_buyback_announcement,0001823529-25-000121,"Enact Holdings, Inc.  (ACT)  (CIK 0001823529)"
ACT,2026-02-03,s11_buyback_announcement,0001823529-26-000003,"Enact Holdings, Inc.  (ACT)  (CIK 0001823529)"
ACTG,2022-03-31,s11_buyback_announcement,0000934549-22-000004,ACACIA RESEARCH CORP  (ACTG)  (CIK 0000934549)
ACTG,2022-05-12,s11_buyback_announcement,0000934549-22-000025,ACACIA RESEARCH CORP  (ACTG)  (CIK 0000934549)
ACTG,2022-08-11,s11_buyback_announcement,0000934549-22-000041,ACACIA RESEARCH CORP  (ACTG)  (CIK 0000934549)
ADBE,2024-03-14,s11_buyback_announcement,0000796343-24-000057,ADOBE INC.  (ADBE)  (CIK 0000796343)
ADBE,2026-04-21,s11_buyback_announcement,0000796343-26-000101,ADOBE INC.  (ADBE)  (CIK 0000796343)
AEI,2025-06-23,s11_buyback_announcement,0001641172-25-016118,Alset Inc.  (AEI)  (CIK 0001750106)
AESI,2024-10-28,s11_buyback_announcement,0000950170-24-117759,Atlas Energy Solutions Inc.  (AESI)  (CIK 0001984060)
AFG,2025-12-05,s11_buyback_announcement,0001140361-25-044459,"AMERICAN FINANCIAL GROUP INC  (AFG, AFGB, AFGC, AFGD, AFGE)  (CIK 0001042046)"
AGCO,2025-07-09,s11_buyback_announcement,0000880266-25-000031,AGCO CORP /DE  (AGCO)  (CIK 0000880266)
AGCO,2025-07-31,s11_buyback_announcement,0000880266-25-000042,AGCO CORP /DE  (AGCO)  (CIK 0000880266)
