horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2022,162,0.4506,0.0172,0.0261
30,2023,139,0.4532,-0.0231,-0.0175
30,2024,162,0.4938,-0.0399,-0.031
30,2025,206,0.5728,-0.002,0.0045
30,2026,93,0.4409,-0.0227,-0.0117
60,2022,162,0.5309,0.0147,0.0214
60,2023,139,0.5612,-0.0387,-0.0333
60,2024,162,0.5556,-0.0282,-0.0101
60,2025,206,0.5485,-0.0117,-0.0068
60,2026,66,0.697,-0.044,-0.0269
90,2022,162,0.4136,-0.0151,-0.0044
90,2023,139,0.5827,-0.0378,-0.0477
90,2024,162,0.5062,-0.0489,-0.0348
90,2025,206,0.5922,-0.0295,-0.0187
90,2026,33,0.6061,-0.0435,-0.0319
