ticker,event_date,setup_type,adsh,company_name
INBK,2021-11-02,s12_merger_arb,0001104659-21-132665,"First Internet Bancorp  (INBK, INBKZ)  (CIK 0001562463)"
AMPY,2025-04-15,s12_merger_arb,0001104659-25-035119,Amplify Energy Corp.  (AMPY)  (CIK 0001533924)
SBC,2024-04-23,s12_merger_arb,0001493152-24-015696,"Pono Capital Two, Inc.  (PTWO, PTWOU, PTWOW)  (CIK 0001930313)"
DCOY,2025-07-29,s12_merger_arb,0001615219-25-000078,"Salarius Pharmaceuticals, Inc.  (SLRX)  (CIK 0001615219)"
CREX,2025-02-18,s12_merger_arb,0001437749-25-004128,"CREATIVE REALITIES, INC.  (CREX)  (CIK 0001356093)"
FIEE,2024-06-21,s12_merger_arb,0001829126-24-004371,"MINIM, INC.  (MINM)  (CIK 0001467761)"
ABTC,2023-05-01,s12_merger_arb,0001213900-23-034194,Akerna Corp.  (GRYP)  (CIK 0001755953)
DCOY,2025-07-21,s12_merger_arb,0001615219-25-000072,"Salarius Pharmaceuticals, Inc.  (SLRX)  (CIK 0001615219)"
SHFS,2023-10-27,s12_merger_arb,0001493152-23-038458,"SHF Holdings, Inc.  (SHFS, SHFSW)  (CIK 0001854963)"
FLG,2022-10-28,s12_merger_arb,0001564590-22-035528,"NEW YORK COMMUNITY BANCORP INC  (NYCB, NYCB-PA, NYCB-PU)  (CIK 0000910073)"
VREOF,2026-04-06,s12_merger_arb,0001104659-26-039924,Vireo Growth Inc.  (VREOF)  (CIK 0001771706)
ALOY,2025-08-22,s12_merger_arb,0001185185-25-001058,BLACKBOXSTOCKS INC.  (BLBX)  (CIK 0001567900)
AIBT,2022-05-19,s12_merger_arb,0001096906-22-001188,"Mycotopia Therapies, Inc.  (TPIA)  (CIK 0001763329)"
XAGE,2023-08-14,s12_merger_arb,0001193125-23-211437,"Carmell Corp  (CTCX, CTCXW)  (CIK 0001842939)"
FLG,2025-08-22,s12_merger_arb,0000910073-25-000121,"FLAGSTAR FINANCIAL, INC.  (FLG, FLG-PA, FLG-PU)  (CIK 0000910073)"
BOTX,2025-11-13,s12_merger_arb,0001477932-25-008198,"LEAFBUYER TECHNOLOGIES, INC.  (LBUY)  (CIK 0001643721)"
PREM,2024-09-11,s12_merger_arb,0001554795-24-000231,ALTAIR INTERNATIONAL CORP.  (ATAO)  (CIK 0001570937)
