ticker,event_date,setup_type,fomc_direction
XLU,2021-12-15,s14_rate_sensitivity,hold
VNQ,2021-12-15,s14_rate_sensitivity,hold
KRE,2021-12-15,s14_rate_sensitivity,hold
XHB,2021-12-15,s14_rate_sensitivity,hold
XLU,2022-01-26,s14_rate_sensitivity,hold
VNQ,2022-01-26,s14_rate_sensitivity,hold
KRE,2022-01-26,s14_rate_sensitivity,hold
XHB,2022-01-26,s14_rate_sensitivity,hold
XLU,2022-03-16,s14_rate_sensitivity,hike
VNQ,2022-03-16,s14_rate_sensitivity,hike
KRE,2022-03-16,s14_rate_sensitivity,hike
XHB,2022-03-16,s14_rate_sensitivity,hike
XLU,2022-05-04,s14_rate_sensitivity,hike
VNQ,2022-05-04,s14_rate_sensitivity,hike
KRE,2022-05-04,s14_rate_sensitivity,hike
XHB,2022-05-04,s14_rate_sensitivity,hike
XLU,2022-06-15,s14_rate_sensitivity,hike
VNQ,2022-06-15,s14_rate_sensitivity,hike
KRE,2022-06-15,s14_rate_sensitivity,hike
XHB,2022-06-15,s14_rate_sensitivity,hike
XLU,2022-07-27,s14_rate_sensitivity,hike
VNQ,2022-07-27,s14_rate_sensitivity,hike
KRE,2022-07-27,s14_rate_sensitivity,hike
XHB,2022-07-27,s14_rate_sensitivity,hike
XLU,2022-09-21,s14_rate_sensitivity,hike
VNQ,2022-09-21,s14_rate_sensitivity,hike
KRE,2022-09-21,s14_rate_sensitivity,hike
XHB,2022-09-21,s14_rate_sensitivity,hike
XLU,2022-11-02,s14_rate_sensitivity,hike
VNQ,2022-11-02,s14_rate_sensitivity,hike
KRE,2022-11-02,s14_rate_sensitivity,hike
XHB,2022-11-02,s14_rate_sensitivity,hike
XLU,2022-12-14,s14_rate_sensitivity,hike
VNQ,2022-12-14,s14_rate_sensitivity,hike
KRE,2022-12-14,s14_rate_sensitivity,hike
XHB,2022-12-14,s14_rate_sensitivity,hike
XLU,2023-02-01,s14_rate_sensitivity,hike
VNQ,2023-02-01,s14_rate_sensitivity,hike
KRE,2023-02-01,s14_rate_sensitivity,hike
XHB,2023-02-01,s14_rate_sensitivity,hike
XLU,2023-03-22,s14_rate_sensitivity,hike
VNQ,2023-03-22,s14_rate_sensitivity,hike
KRE,2023-03-22,s14_rate_sensitivity,hike
XHB,2023-03-22,s14_rate_sensitivity,hike
XLU,2023-05-03,s14_rate_sensitivity,hike
VNQ,2023-05-03,s14_rate_sensitivity,hike
KRE,2023-05-03,s14_rate_sensitivity,hike
XHB,2023-05-03,s14_rate_sensitivity,hike
XLU,2023-06-14,s14_rate_sensitivity,hold
VNQ,2023-06-14,s14_rate_sensitivity,hold
KRE,2023-06-14,s14_rate_sensitivity,hold
XHB,2023-06-14,s14_rate_sensitivity,hold
