ticker,event_date,setup_type,adsh,company_name
ALBT,2022-05-02,s20_uplisting,0001213900-22-023156,Avalon GloboCare Corp.  (ALBT)  (CIK 0001630212)
ALBT,2023-06-16,s20_uplisting,0001213900-23-049645,Avalon GloboCare Corp.  (ALBT)  (CIK 0001630212)
ALBT,2025-09-08,s20_uplisting,0001213900-25-085313,Avalon GloboCare Corp.  (ALBT)  (CIK 0001630212)
ALOY,2021-11-16,s20_uplisting,0001437749-21-026901,BLACKBOXSTOCKS INC.  (BLBX)  (CIK 0001567900)
APLD,2025-10-22,s20_uplisting,0001144879-25-000076,Applied Digital Corp.  (APLD)  (CIK 0001144879)
APLD,2026-04-23,s20_uplisting,0001144879-26-000036,Applied Digital Corp.  (APLD)  (CIK 0001144879)
AREN,2022-02-09,s20_uplisting,0001493152-22-003602,"Arena Group Holdings, Inc.  (AREN)  (CIK 0000894871)"
AREN,2022-03-28,s20_uplisting,0001493152-22-007892,"Arena Group Holdings, Inc.  (AREN)  (CIK 0000894871)"
AREN,2022-05-04,s20_uplisting,0001493152-22-012089,"Arena Group Holdings, Inc.  (AREN)  (CIK 0000894871)"
AUID,2021-11-15,s20_uplisting,0001213900-21-058862,Ipsidy Inc.  (AUID)  (CIK 0001534154)
CAPR,2026-03-12,s20_uplisting,0001104659-26-027037,"CAPRICOR THERAPEUTICS, INC.  (CAPR)  (CIK 0001133869)"
COFS,2024-07-25,s20_uplisting,0001140361-24-034098,CHOICEONE FINANCIAL SERVICES INC  (COFS)  (CIK 0000803164)
COSM,2022-04-19,s20_uplisting,0001477932-22-002494,Cosmos Holdings Inc.  (COSM)  (CIK 0001474167)
CRTD,2022-08-31,s20_uplisting,0001213900-22-052644,"Creatd, Inc.  (CRTD, CRTDW)  (CIK 0001357671)"
CTM,2022-11-08,s20_uplisting,0001575872-22-001075,"Castellum, Inc.  (CTM)  (CIK 0001877939)"
CTM,2022-12-09,s20_uplisting,0001575872-22-001287,"Castellum, Inc.  (CTM)  (CIK 0001877939)"
CTM,2025-07-14,s20_uplisting,0001877939-25-000075,"Castellum, Inc.  (CTM)  (CIK 0001877939)"
CZFS,2022-07-21,s20_uplisting,0000739421-22-000066,CITIZENS FINANCIAL SERVICES INC  (CZFS)  (CIK 0000739421)
DUKR,2026-05-20,s20_uplisting,0001213900-26-059258,"DUKE Robotics Corp.  (DUKR, DUKRW)  (CIK 0001638911)"
EP,2022-08-16,s20_uplisting,0001072613-22-000517,EMPIRE PETROLEUM CORP  (EP)  (CIK 0000887396)
EVTV,2022-08-16,s20_uplisting,0001193125-22-221462,"Envirotech Vehicles, Inc.  (EVTV)  (CIK 0001563568)"
FOXO,2023-09-19,s20_uplisting,0001213900-23-077799,"FOXO TECHNOLOGIES INC.  (FOXO, FOXOW)  (CIK 0001812360)"
GIFT,2024-10-08,s20_uplisting,0001493152-24-040430,"RDE, Inc.  (GIFT)  (CIK 0001760233)"
GLTK,2025-12-02,s20_uplisting,0001477932-25-008727,GlobalTech Corp  (GLTK)  (CIK 0001938338)
GSAT,2025-02-27,s20_uplisting,0001366868-25-000030,"Globalstar, Inc.  (GSAT)  (CIK 0001366868)"
GTLL,2024-03-19,s20_uplisting,0001493152-24-010527,GLOBAL TECHNOLOGIES LTD  (GTLL)  (CIK 0000932021)
GWTI,2025-06-23,s20_uplisting,0001641172-25-016034,GREENWAY TECHNOLOGIES INC  (GWTI)  (CIK 0001572386)
IPM,2021-11-09,s20_uplisting,0001213900-21-057731,"PALTALK, INC.  (PALT)  (CIK 0001355839)"
IQST,2025-05-15,s20_uplisting,0001663577-25-000151,"iQSTEL Inc  (IQST, IQSTD)  (CIK 0001527702)"
IQST,2025-12-11,s20_uplisting,0001663577-25-000351,iQSTEL Inc  (IQST)  (CIK 0001527702)
IQST,2026-03-06,s20_uplisting,0001663577-26-000059,iQSTEL Inc  (IQST)  (CIK 0001527702)
IRMD,2024-06-07,s20_uplisting,0001558370-24-008988,IRADIMED CORP  (IRMD)  (CIK 0001325618)
NCPL,2023-07-27,s20_uplisting,0001903596-23-000563,"Netcapital Inc.  (NCPL, NCPLW)  (CIK 0001414767)"
NMTC,2021-08-13,s20_uplisting,0001213900-21-042291,NEUROONE MEDICAL TECHNOLOGIES Corp  (NMTC)  (CIK 0001500198)
NMTC,2022-06-02,s20_uplisting,0001213900-22-030944,NEUROONE MEDICAL TECHNOLOGIES Corp  (NMTC)  (CIK 0001500198)
ODYS,2025-03-26,s20_uplisting,0001641172-25-000679,Odysight.ai Inc.  (ODYS)  (CIK 0001577445)
ODYS,2025-05-15,s20_uplisting,0001641172-25-010528,Odysight.ai Inc.  (ODYS)  (CIK 0001577445)
ODYS,2025-08-13,s20_uplisting,0001641172-25-023487,Odysight.ai Inc.  (ODYS)  (CIK 0001577445)
ODYS,2025-11-13,s20_uplisting,0001493152-25-022131,Odysight.ai Inc.  (ODYS)  (CIK 0001577445)
ODYS,2026-01-05,s20_uplisting,0001493152-26-000272,Odysight.ai Inc.  (ODYS)  (CIK 0001577445)
ODYS,2026-03-19,s20_uplisting,0001493152-26-011695,Odysight.ai Inc.  (ODYS)  (CIK 0001577445)
PETV,2021-11-15,s20_uplisting,0001493152-21-028512,"PetVivo Holdings, Inc.  (PETV, PETVW)  (CIK 0001512922)"
PMCB,2022-07-28,s20_uplisting,0001683168-22-005186,"PharmaCyte Biotech, Inc.  (PMCB)  (CIK 0001157075)"
PSIX,2024-12-27,s20_uplisting,0001193125-24-286003,"POWER SOLUTIONS INTERNATIONAL, INC.  (PSIX)  (CIK 0001137091)"
PSIX,2025-03-24,s20_uplisting,0001137091-25-000007,"POWER SOLUTIONS INTERNATIONAL, INC.  (PSIX)  (CIK 0001137091)"
PTIX,2021-08-19,s20_uplisting,0001493152-21-020615,"Protagenic Therapeutics, Inc.\new  (PTIX, PTIXW)  (CIK 0001022899)"
QTI,2026-03-25,s20_uplisting,0001628280-26-020911,"QT IMAGING HOLDINGS, INC.  (QTI, QTIWW)  (CIK 0001844505)"
QTI,2026-05-13,s20_uplisting,0001628280-26-034379,"QT IMAGING HOLDINGS, INC.  (QTI, QTIWW)  (CIK 0001844505)"
QUBT,2022-08-25,s20_uplisting,0001213900-22-051142,Quantum Computing Inc.  (QUBT)  (CIK 0001758009)
QUBT,2024-06-11,s20_uplisting,0001213900-24-051804,Quantum Computing Inc.  (QUBT)  (CIK 0001758009)
RIME,2022-07-15,s20_uplisting,0001493152-22-019371,SINGING MACHINE CO INC  (MICS)  (CIK 0000923601)
RPC,2021-11-12,s20_uplisting,0001193125-21-327135,"P10, Inc.  (PX)  (CIK 0001841968)"
SBEV,2021-08-18,s20_uplisting,0001731122-21-001405,"SPLASH BEVERAGE GROUP, INC.  (SBEV, SBEV-WT)  (CIK 0001553788)"
SCWO,2022-08-04,s20_uplisting,0001654954-22-010620,374Water Inc.  (SCWO)  (CIK 0000933972)
SEG,2025-08-11,s20_uplisting,0001558370-25-011074,Seaport Entertainment Group Inc.  (SEG)  (CIK 0002009684)
SEG,2025-11-10,s20_uplisting,0001104659-25-109303,Seaport Entertainment Group Inc.  (SEG)  (CIK 0002009684)
