horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2021,10,0.2,-0.0657,-0.0639
30,2022,19,0.5263,0.0737,0.0331
30,2023,6,0.1667,-0.2453,-0.2306
30,2024,15,0.6667,0.0028,-0.0135
30,2025,25,0.24,-0.0821,-0.0773
30,2026,8,0.5,-0.081,-0.0365
60,2021,10,0.2,-0.3068,-0.2596
60,2022,19,0.5263,0.0858,0.1879
60,2023,5,0.0,-0.2585,-0.3618
60,2024,15,0.5333,-0.0471,0.0988
60,2025,25,0.32,-0.2476,-0.1209
60,2026,6,0.3333,-0.4401,-0.143
90,2021,10,0.0,-0.4266,-0.3854
90,2022,19,0.5263,-0.0258,-0.0371
90,2023,5,0.0,-0.5517,-0.5476
90,2024,15,0.8667,-0.0015,0.1204
90,2025,25,0.28,-0.2209,-0.1228
90,2026,1,1.0,0.4295,0.4295
