ticker,event_date,setup_type,ipo_date
LPRO,2021-09-28,s21_lockup_expiry,2021-04-01
XBP,2021-09-11,s21_lockup_expiry,2021-03-15
NXXT,2022-03-15,s21_lockup_expiry,2021-09-16
ALOY,2022-05-11,s21_lockup_expiry,2021-11-12
RIVN,2022-05-11,s21_lockup_expiry,2021-11-12
RUM,2021-08-18,s21_lockup_expiry,2021-02-19
NTST,2021-10-05,s21_lockup_expiry,2021-04-08
BWMN,2021-11-06,s21_lockup_expiry,2021-05-10
DBGI,2021-11-13,s21_lockup_expiry,2021-05-17
RGC,2022-01-16,s21_lockup_expiry,2021-07-20
IKT,2021-12-14,s21_lockup_expiry,2021-06-17
CNEY,2021-08-04,s21_lockup_expiry,2021-02-05
EVCM,2022-01-02,s21_lockup_expiry,2021-07-06
OLPX,2022-03-30,s21_lockup_expiry,2021-10-01
QTEX,2022-01-11,s21_lockup_expiry,2021-07-15
UPXI,2021-12-21,s21_lockup_expiry,2021-06-24
AMZE,2022-06-12,s21_lockup_expiry,2021-12-14
MITQ,2022-01-04,s21_lockup_expiry,2021-07-08
VBIO,2022-05-11,s21_lockup_expiry,2021-11-12
BFRI,2022-04-30,s21_lockup_expiry,2021-11-01
HAYW,2021-09-11,s21_lockup_expiry,2021-03-15
BRLT,2022-03-23,s21_lockup_expiry,2021-09-24
LONA,2021-07-20,s21_lockup_expiry,2021-01-21
RVPH,2021-07-11,s21_lockup_expiry,2021-01-12
IMMX,2022-06-15,s21_lockup_expiry,2021-12-17
QTI,2022-03-26,s21_lockup_expiry,2021-09-27
IPW,2021-11-09,s21_lockup_expiry,2021-05-13
SMWB,2021-11-08,s21_lockup_expiry,2021-05-12
HNST,2021-11-02,s21_lockup_expiry,2021-05-06
KYMR,2021-12-29,s21_lockup_expiry,2021-07-02
HOOD,2022-01-26,s21_lockup_expiry,2021-07-30
BLZE,2022-05-11,s21_lockup_expiry,2021-11-12
VVOS,2021-11-15,s21_lockup_expiry,2021-05-19
TEAD,2022-01-19,s21_lockup_expiry,2021-07-23
ACXP,2021-12-25,s21_lockup_expiry,2021-06-28
BOLT,2021-08-04,s21_lockup_expiry,2021-02-05
OPEN,2021-08-07,s21_lockup_expiry,2021-02-08
CURI,2021-08-04,s21_lockup_expiry,2021-02-05
TASK,2021-12-11,s21_lockup_expiry,2021-06-14
SHLS,2021-07-27,s21_lockup_expiry,2021-01-28
UPC,2021-09-20,s21_lockup_expiry,2021-03-24
TSPH,2021-10-13,s21_lockup_expiry,2021-04-16
UK,2021-07-31,s21_lockup_expiry,2021-02-01
HCTI,2022-04-12,s21_lockup_expiry,2021-10-14
LZ,2021-12-27,s21_lockup_expiry,2021-06-30
GROY,2021-09-05,s21_lockup_expiry,2021-03-09
CDRE,2022-05-04,s21_lockup_expiry,2021-11-05
FIGS,2021-11-24,s21_lockup_expiry,2021-05-28
COOK,2022-01-26,s21_lockup_expiry,2021-07-30
MQ,2021-12-07,s21_lockup_expiry,2021-06-10
SEER,2021-07-28,s21_lockup_expiry,2021-01-29
LTH,2022-04-06,s21_lockup_expiry,2021-10-08
MSGM,2021-07-12,s21_lockup_expiry,2021-01-13
CWAN,2022-03-26,s21_lockup_expiry,2021-09-27
FWRG,2022-04-02,s21_lockup_expiry,2021-10-04
DV,2021-10-19,s21_lockup_expiry,2021-04-22
VEEE,2022-01-18,s21_lockup_expiry,2021-07-22
ABSI,2022-01-19,s21_lockup_expiry,2021-07-23
PAY,2021-11-22,s21_lockup_expiry,2021-05-26
FLD,2022-06-15,s21_lockup_expiry,2021-12-17
COCO,2022-04-20,s21_lockup_expiry,2021-10-22
INTA,2021-12-28,s21_lockup_expiry,2021-07-01
OTLY,2021-11-17,s21_lockup_expiry,2021-05-21
WEAV,2022-05-11,s21_lockup_expiry,2021-11-12
CNTX,2022-04-18,s21_lockup_expiry,2021-10-20
PTLO,2022-04-20,s21_lockup_expiry,2021-10-22
ZVIA,2022-01-19,s21_lockup_expiry,2021-07-23
S,2021-12-27,s21_lockup_expiry,2021-06-30
CLYM,2022-02-07,s21_lockup_expiry,2021-08-11
RELY,2022-03-23,s21_lockup_expiry,2021-09-24
NPCE,2021-10-20,s21_lockup_expiry,2021-04-23
WOOF,2021-11-24,s21_lockup_expiry,2021-05-28
CPNG,2021-09-07,s21_lockup_expiry,2021-03-11
WAVE,2021-12-29,s21_lockup_expiry,2021-07-02
NRDS,2022-05-04,s21_lockup_expiry,2021-11-05
COMP,2021-09-28,s21_lockup_expiry,2021-04-01
CRSR,2021-07-24,s21_lockup_expiry,2021-01-25
AFRM,2021-07-13,s21_lockup_expiry,2021-01-14
GGRP,2021-12-29,s21_lockup_expiry,2021-07-02
BGM,2021-07-11,s21_lockup_expiry,2021-01-12
ZETA,2021-12-11,s21_lockup_expiry,2021-06-14
JBIO,2021-12-27,s21_lockup_expiry,2021-06-30
NRSN,2022-06-08,s21_lockup_expiry,2021-12-10
ANEB,2021-11-06,s21_lockup_expiry,2021-05-10
NNOX,2021-08-11,s21_lockup_expiry,2021-02-12
OSCR,2021-08-31,s21_lockup_expiry,2021-03-04
LVLU,2022-05-11,s21_lockup_expiry,2021-11-12
CERT,2021-09-21,s21_lockup_expiry,2021-03-25
INKT,2022-04-13,s21_lockup_expiry,2021-10-15
FLNC,2022-04-27,s21_lockup_expiry,2021-10-29
FTCI,2021-10-26,s21_lockup_expiry,2021-04-29
HCWB,2022-01-17,s21_lockup_expiry,2021-07-21
GFAI,2022-03-29,s21_lockup_expiry,2021-09-30
RLYB,2022-01-26,s21_lockup_expiry,2021-07-30
AMWL,2021-07-14,s21_lockup_expiry,2021-01-15
TIRXF,2021-07-26,s21_lockup_expiry,2021-01-27
AUUD,2021-08-18,s21_lockup_expiry,2021-02-19
ELTX,2021-08-04,s21_lockup_expiry,2021-02-05
NLCP,2022-02-09,s21_lockup_expiry,2021-08-13
AVX,2022-01-05,s21_lockup_expiry,2021-07-09
KTTA,2022-03-15,s21_lockup_expiry,2021-09-16
UNCY,2022-01-10,s21_lockup_expiry,2021-07-14
IREN,2022-05-17,s21_lockup_expiry,2021-11-18
BAOS,2021-08-08,s21_lockup_expiry,2021-02-09
SKYT,2021-10-19,s21_lockup_expiry,2021-04-22
CPOP,2021-12-28,s21_lockup_expiry,2021-07-01
FSBC,2021-11-02,s21_lockup_expiry,2021-05-06
CRCT,2021-09-21,s21_lockup_expiry,2021-03-25
FNUC,2022-05-21,s21_lockup_expiry,2021-11-22
RYM,2021-07-28,s21_lockup_expiry,2021-01-29
CGEM,2021-07-10,s21_lockup_expiry,2021-01-11
TOST,2022-03-21,s21_lockup_expiry,2021-09-22
BIRD,2022-05-03,s21_lockup_expiry,2021-11-04
BRZE,2022-05-17,s21_lockup_expiry,2021-11-18
HEPS,2021-12-28,s21_lockup_expiry,2021-07-01
PCOR,2021-11-17,s21_lockup_expiry,2021-05-21
ARHS,2022-05-04,s21_lockup_expiry,2021-11-05
TMCI,2021-10-23,s21_lockup_expiry,2021-04-26
SNTG,2022-01-08,s21_lockup_expiry,2021-07-12
XMTR,2021-12-28,s21_lockup_expiry,2021-07-01
RYAN,2022-01-19,s21_lockup_expiry,2021-07-23
EEIQ,2021-09-25,s21_lockup_expiry,2021-03-29
RENT,2022-04-25,s21_lockup_expiry,2021-10-27
SRAD,2022-03-14,s21_lockup_expiry,2021-09-15
SG,2022-05-18,s21_lockup_expiry,2021-11-19
MNDY,2021-12-08,s21_lockup_expiry,2021-06-11
CADL,2022-01-24,s21_lockup_expiry,2021-07-28
BTMD,2021-08-30,s21_lockup_expiry,2021-03-03
ALZN,2021-12-12,s21_lockup_expiry,2021-06-15
FTH,2021-08-03,s21_lockup_expiry,2021-02-04
KRT,2021-10-13,s21_lockup_expiry,2021-04-16
OM,2021-10-09,s21_lockup_expiry,2021-04-12
FEMY,2021-12-18,s21_lockup_expiry,2021-06-21
PRVA,2021-10-27,s21_lockup_expiry,2021-04-30
LYEL,2021-12-18,s21_lockup_expiry,2021-06-21
TDUP,2021-09-22,s21_lockup_expiry,2021-03-26
BROS,2022-03-15,s21_lockup_expiry,2021-09-16
SWAG,2022-05-09,s21_lockup_expiry,2021-11-10
IOBTQ,2022-05-07,s21_lockup_expiry,2021-11-08
TYGO,2022-02-02,s21_lockup_expiry,2021-08-06
CTKB,2022-01-19,s21_lockup_expiry,2021-07-23
ZENVF,2022-01-19,s21_lockup_expiry,2021-07-23
RBLX,2021-09-06,s21_lockup_expiry,2021-03-10
SONX,2022-04-30,s21_lockup_expiry,2021-11-01
BZ,2021-12-11,s21_lockup_expiry,2021-06-14
ZIP,2021-11-22,s21_lockup_expiry,2021-05-26
PYXS,2022-04-06,s21_lockup_expiry,2021-10-08
DOCN,2021-09-20,s21_lockup_expiry,2021-03-24
IOT,2022-06-13,s21_lockup_expiry,2021-12-15
PRCT,2022-03-15,s21_lockup_expiry,2021-09-16
VERA,2021-11-13,s21_lockup_expiry,2021-05-17
GLUE,2021-12-22,s21_lockup_expiry,2021-06-25
TCBX,2022-05-08,s21_lockup_expiry,2021-11-09
BMBL,2021-08-11,s21_lockup_expiry,2021-02-12
BLND,2022-01-12,s21_lockup_expiry,2021-07-16
FA,2021-12-21,s21_lockup_expiry,2021-06-24
IMRX,2022-01-26,s21_lockup_expiry,2021-07-30
ZH,2021-09-22,s21_lockup_expiry,2021-03-26
BMEA,2021-10-16,s21_lockup_expiry,2021-04-19
SLND,2022-05-22,s21_lockup_expiry,2021-11-23
GLBE,2021-11-09,s21_lockup_expiry,2021-05-13
AKA,2022-03-22,s21_lockup_expiry,2021-09-23
ACVA,2021-09-20,s21_lockup_expiry,2021-03-24
EJH,2021-11-13,s21_lockup_expiry,2021-05-17
VOR,2021-08-07,s21_lockup_expiry,2021-02-08
LAW,2022-01-18,s21_lockup_expiry,2021-07-22
BRNS,2021-10-27,s21_lockup_expiry,2021-04-30
EMPD,2022-04-06,s21_lockup_expiry,2021-10-08
DOCS,2021-12-22,s21_lockup_expiry,2021-06-25
AVAH,2021-10-27,s21_lockup_expiry,2021-04-30
XLO,2022-04-20,s21_lockup_expiry,2021-10-22
APP,2021-10-12,s21_lockup_expiry,2021-04-15
GTLB,2022-04-12,s21_lockup_expiry,2021-10-14
DSP,2021-08-10,s21_lockup_expiry,2021-02-11
JZXN,2021-11-15,s21_lockup_expiry,2021-05-19
VRRM,2022-06-07,s21_lockup_expiry,2021-12-09
YOU,2021-12-28,s21_lockup_expiry,2021-07-01
BVS,2021-08-11,s21_lockup_expiry,2021-02-12
EZGO,2021-11-28,s21_lockup_expiry,2021-06-01
RANI,2022-01-29,s21_lockup_expiry,2021-08-02
NXGL,2022-06-25,s21_lockup_expiry,2021-12-27
REFI,2022-06-07,s21_lockup_expiry,2021-12-09
