horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2021,162,0.3333,-0.0872,-0.0769
30,2022,212,0.4151,-0.0223,-0.0303
30,2023,134,0.3806,-0.0986,-0.0908
30,2024,171,0.4678,-0.0621,-0.0523
30,2025,320,0.4594,-0.0443,-0.05
30,2026,151,0.4437,-0.0697,-0.0824
60,2021,162,0.2778,-0.1484,-0.1339
60,2022,212,0.3443,-0.0742,-0.0898
60,2023,134,0.3881,-0.1679,-0.0758
60,2024,171,0.4211,-0.125,-0.065
60,2025,320,0.4594,-0.0777,-0.0765
60,2026,112,0.5089,-0.0977,-0.11
90,2021,162,0.1975,-0.2573,-0.2055
90,2022,212,0.3632,-0.1011,-0.0921
90,2023,134,0.3731,-0.2461,-0.1027
90,2024,171,0.3977,-0.2219,-0.1496
90,2025,320,0.4938,-0.1058,-0.1181
90,2026,57,0.5088,-0.079,0.2812
