ticker,event_date,setup_type,region
GLE.PA,2016-06-23,s_quant_gate,EU
CMI,2024-01-22,s_quant_gate,US
ALGN,2023-08-22,s_quant_gate,US
SIE.DE,2026-07-01,s_quant_gate,EU
ITW,2020-06-08,s_quant_gate,US
HLT,2016-07-27,s_quant_gate,US
GILD,2023-07-20,s_quant_gate,US
D,2014-03-18,s_quant_gate,US
SGRO.L,2016-08-03,s_quant_gate,EU
CI,2024-04-08,s_quant_gate,US
LGEN.L,2017-02-10,s_quant_gate,EU
SIE.DE,2016-09-30,s_quant_gate,EU
ZBRA,2021-04-20,s_quant_gate,US
CAT,2022-05-27,s_quant_gate,US
BNR.DE,2020-05-18,s_quant_gate,EU
REGN,2014-03-18,s_quant_gate,US
AMGN,2014-03-18,s_quant_gate,US
AMD,2019-03-22,s_quant_gate,US
CDNS,2017-09-01,s_quant_gate,US
GD,2022-01-18,s_quant_gate,US
GPN,2014-06-26,s_quant_gate,US
V,2014-03-18,s_quant_gate,US
CCH.L,2021-04-27,s_quant_gate,EU
ALLE,2015-09-16,s_quant_gate,US
AI.PA,2021-06-09,s_quant_gate,EU
FAST,2023-06-22,s_quant_gate,US
RHM.DE,2017-10-30,s_quant_gate,EU
HO.PA,2022-09-05,s_quant_gate,EU
OR.PA,2023-03-14,s_quant_gate,EU
ZBRA,2017-08-30,s_quant_gate,US
RCL,2014-04-23,s_quant_gate,US
GE,2019-02-27,s_quant_gate,US
SPGI,2021-03-16,s_quant_gate,US
BNP.PA,2019-07-03,s_quant_gate,EU
JBHT,2019-08-08,s_quant_gate,US
ACGL,2026-05-18,s_quant_gate,US
UNA.AS,2021-12-10,s_quant_gate,EU
DRI,2021-09-28,s_quant_gate,US
NTGY.MC,2025-11-03,s_quant_gate,EU
REGN,2023-04-13,s_quant_gate,US
MPC,2014-03-18,s_quant_gate,US
JBHT,2015-07-30,s_quant_gate,US
DOC,2018-11-26,s_quant_gate,US
FSLR,2017-08-03,s_quant_gate,US
VNA.DE,2020-06-09,s_quant_gate,EU
MMM,2017-03-14,s_quant_gate,US
CI,2020-12-28,s_quant_gate,US
CCL,2020-11-09,s_quant_gate,US
OKE,2021-08-25,s_quant_gate,US
CF,2019-12-16,s_quant_gate,US
NEE,2014-10-08,s_quant_gate,US
MRK,2024-01-31,s_quant_gate,US
CON.DE,2018-02-07,s_quant_gate,EU
INCY,2022-01-24,s_quant_gate,US
APO,2017-09-26,s_quant_gate,US
SAN.PA,2023-02-22,s_quant_gate,EU
SWKS,2019-10-04,s_quant_gate,US
WTW,2024-09-10,s_quant_gate,US
CPRT,2024-06-17,s_quant_gate,US
ODFL,2019-02-07,s_quant_gate,US
BSX,2014-11-28,s_quant_gate,US
AC.PA,2026-05-14,s_quant_gate,EU
KMB,2022-07-22,s_quant_gate,US
EOAN.DE,2017-10-16,s_quant_gate,EU
DTE.DE,2023-01-05,s_quant_gate,EU
NFLX,2020-02-13,s_quant_gate,US
BAS.DE,2014-03-28,s_quant_gate,EU
EXE,2023-10-06,s_quant_gate,US
PCT.L,2023-02-06,s_quant_gate,EU
BKR,2016-08-26,s_quant_gate,US
ARE,2015-11-20,s_quant_gate,US
IHG.L,2023-11-17,s_quant_gate,EU
GNRC,2017-12-13,s_quant_gate,US
KIM,2020-11-09,s_quant_gate,US
BSX,2024-07-19,s_quant_gate,US
GPN,2015-06-04,s_quant_gate,US
CHTR,2017-05-24,s_quant_gate,US
OKE,2023-04-05,s_quant_gate,US
JBHT,2016-11-07,s_quant_gate,US
STLD,2026-05-11,s_quant_gate,US
FRES.L,2020-11-05,s_quant_gate,EU
NOW,2017-08-14,s_quant_gate,US
DUK,2026-06-16,s_quant_gate,US
NUE,2014-05-23,s_quant_gate,US
MU,2024-01-02,s_quant_gate,US
FITB,2017-02-06,s_quant_gate,US
ITRK.L,2025-07-07,s_quant_gate,EU
INTU,2024-01-31,s_quant_gate,US
ORA.PA,2015-06-22,s_quant_gate,EU
MC.PA,2017-08-31,s_quant_gate,EU
HNR1.DE,2016-05-02,s_quant_gate,EU
BLDR,2023-05-23,s_quant_gate,US
DB1.DE,2018-06-11,s_quant_gate,EU
FRE.DE,2023-05-25,s_quant_gate,EU
EFX,2025-02-03,s_quant_gate,US
WST,2015-02-18,s_quant_gate,US
SAN.PA,2017-04-07,s_quant_gate,EU
HLT,2015-01-08,s_quant_gate,US
DVA,2023-02-22,s_quant_gate,US
SYY,2015-08-24,s_quant_gate,US
OKE,2016-11-29,s_quant_gate,US
IQV,2025-07-30,s_quant_gate,US
GLE.PA,2024-10-11,s_quant_gate,EU
MRL.MC,2017-10-31,s_quant_gate,EU
ADS.DE,2016-09-26,s_quant_gate,EU
GDDY,2020-10-05,s_quant_gate,US
MKS.L,2019-12-13,s_quant_gate,EU
MCHP,2015-01-27,s_quant_gate,US
WTB.L,2021-09-08,s_quant_gate,EU
AXP,2018-08-29,s_quant_gate,US
GOOG,2017-05-18,s_quant_gate,US
AMGN,2017-07-19,s_quant_gate,US
LVS,2022-02-07,s_quant_gate,US
PKG,2014-10-21,s_quant_gate,US
INVH,2023-11-24,s_quant_gate,US
BF-B,2021-12-10,s_quant_gate,US
FIX,2021-08-31,s_quant_gate,US
ANTO.L,2019-10-28,s_quant_gate,EU
RI.PA,2023-01-18,s_quant_gate,EU
LUV,2024-07-16,s_quant_gate,US
FLEX,2024-05-06,s_quant_gate,US
