ticker,event_date,setup_type,region
STJ.L,2026-06-30,s_quant_gate_placebo_sma50_only,EU
CTAS,2021-10-06,s_quant_gate_placebo_sma50_only,US
AME,2018-03-26,s_quant_gate_placebo_sma50_only,US
MET,2014-04-22,s_quant_gate_placebo_sma50_only,US
KMB,2019-02-06,s_quant_gate_placebo_sma50_only,US
INTU,2025-12-04,s_quant_gate_placebo_sma50_only,US
ECHO,2024-03-11,s_quant_gate_placebo_sma50_only,US
CPAY,2023-08-03,s_quant_gate_placebo_sma50_only,US
HEI.DE,2025-10-24,s_quant_gate_placebo_sma50_only,EU
CL,2015-11-16,s_quant_gate_placebo_sma50_only,US
NG.L,2016-01-22,s_quant_gate_placebo_sma50_only,EU
V,2018-11-07,s_quant_gate_placebo_sma50_only,US
AOS,2019-07-05,s_quant_gate_placebo_sma50_only,US
ANET,2019-07-02,s_quant_gate_placebo_sma50_only,US
CNC,2017-06-01,s_quant_gate_placebo_sma50_only,US
IEX,2016-07-08,s_quant_gate_placebo_sma50_only,US
JBHT,2019-03-11,s_quant_gate_placebo_sma50_only,US
CBK.DE,2024-12-30,s_quant_gate_placebo_sma50_only,EU
PSH.L,2022-10-04,s_quant_gate_placebo_sma50_only,EU
AMGN,2024-08-08,s_quant_gate_placebo_sma50_only,US
III.L,2022-04-14,s_quant_gate_placebo_sma50_only,EU
HAS,2018-01-23,s_quant_gate_placebo_sma50_only,US
UU.L,2018-03-28,s_quant_gate_placebo_sma50_only,EU
HEI.DE,2019-11-11,s_quant_gate_placebo_sma50_only,EU
UPS,2025-03-07,s_quant_gate_placebo_sma50_only,US
INCY,2015-07-02,s_quant_gate_placebo_sma50_only,US
WYNN,2024-03-19,s_quant_gate_placebo_sma50_only,US
MUV2.DE,2013-08-09,s_quant_gate_placebo_sma50_only,EU
MKC,2014-08-21,s_quant_gate_placebo_sma50_only,US
ADBE,2020-04-14,s_quant_gate_placebo_sma50_only,US
EXC,2020-05-08,s_quant_gate_placebo_sma50_only,US
VEEV,2014-08-22,s_quant_gate_placebo_sma50_only,US
PODD,2020-02-28,s_quant_gate_placebo_sma50_only,US
MGM,2024-01-18,s_quant_gate_placebo_sma50_only,US
ETN,2013-08-12,s_quant_gate_placebo_sma50_only,US
IBKR,2020-11-09,s_quant_gate_placebo_sma50_only,US
PM,2020-02-06,s_quant_gate_placebo_sma50_only,US
CPAY,2020-04-27,s_quant_gate_placebo_sma50_only,US
CMS,2018-03-15,s_quant_gate_placebo_sma50_only,US
STZ,2019-06-28,s_quant_gate_placebo_sma50_only,US
COHR,2016-01-26,s_quant_gate_placebo_sma50_only,US
ROP,2024-02-14,s_quant_gate_placebo_sma50_only,US
PSA,2017-11-08,s_quant_gate_placebo_sma50_only,US
PSON.L,2019-06-18,s_quant_gate_placebo_sma50_only,EU
LYV,2017-03-13,s_quant_gate_placebo_sma50_only,US
AWK,2015-04-20,s_quant_gate_placebo_sma50_only,US
ABF.L,2021-06-09,s_quant_gate_placebo_sma50_only,EU
FRE.DE,2017-10-04,s_quant_gate_placebo_sma50_only,EU
DHI,2025-04-30,s_quant_gate_placebo_sma50_only,US
STX,2013-09-18,s_quant_gate_placebo_sma50_only,US
CDW,2022-10-25,s_quant_gate_placebo_sma50_only,US
HSX.L,2018-03-06,s_quant_gate_placebo_sma50_only,EU
MTB,2019-05-20,s_quant_gate_placebo_sma50_only,US
SHEL.L,2013-11-15,s_quant_gate_placebo_sma50_only,EU
RWE.DE,2019-06-06,s_quant_gate_placebo_sma50_only,EU
RTX,2021-08-03,s_quant_gate_placebo_sma50_only,US
LR.PA,2016-03-11,s_quant_gate_placebo_sma50_only,EU
GOOGL,2016-07-11,s_quant_gate_placebo_sma50_only,US
CAH,2020-01-15,s_quant_gate_placebo_sma50_only,US
AXP,2023-05-30,s_quant_gate_placebo_sma50_only,US
ISRG,2019-08-08,s_quant_gate_placebo_sma50_only,US
MS,2019-01-14,s_quant_gate_placebo_sma50_only,US
CF,2018-10-12,s_quant_gate_placebo_sma50_only,US
JBHT,2021-02-02,s_quant_gate_placebo_sma50_only,US
COST,2017-03-07,s_quant_gate_placebo_sma50_only,US
STZ,2022-02-02,s_quant_gate_placebo_sma50_only,US
MGM,2025-08-13,s_quant_gate_placebo_sma50_only,US
YUM,2023-07-13,s_quant_gate_placebo_sma50_only,US
SPX.L,2014-04-02,s_quant_gate_placebo_sma50_only,EU
SCHW,2014-05-12,s_quant_gate_placebo_sma50_only,US
EXR,2016-03-11,s_quant_gate_placebo_sma50_only,US
SNA,2022-09-06,s_quant_gate_placebo_sma50_only,US
RL,2022-11-10,s_quant_gate_placebo_sma50_only,US
HSIC,2020-01-07,s_quant_gate_placebo_sma50_only,US
MAA,2024-03-06,s_quant_gate_placebo_sma50_only,US
UMG.AS,2022-07-07,s_quant_gate_placebo_sma50_only,EU
CASY,2026-06-10,s_quant_gate_placebo_sma50_only,US
REN.AS,2023-07-13,s_quant_gate_placebo_sma50_only,EU
SN.L,2018-01-25,s_quant_gate_placebo_sma50_only,EU
FFIV,2013-08-12,s_quant_gate_placebo_sma50_only,US
FCIT.L,2017-05-19,s_quant_gate_placebo_sma50_only,EU
KMB,2017-11-21,s_quant_gate_placebo_sma50_only,US
EXR,2026-08-13,s_quant_gate_placebo_sma50_only,US
ACA.PA,2023-04-14,s_quant_gate_placebo_sma50_only,EU
STX,2026-04-01,s_quant_gate_placebo_sma50_only,US
MCD,2025-10-17,s_quant_gate_placebo_sma50_only,US
STMPA.PA,2013-12-23,s_quant_gate_placebo_sma50_only,EU
ICG.L,2017-08-31,s_quant_gate_placebo_sma50_only,EU
IFF,2017-01-24,s_quant_gate_placebo_sma50_only,US
PCAR,2021-12-06,s_quant_gate_placebo_sma50_only,US
BIIB,2015-12-04,s_quant_gate_placebo_sma50_only,US
IT,2023-01-11,s_quant_gate_placebo_sma50_only,US
AOS,2023-08-30,s_quant_gate_placebo_sma50_only,US
OKE,2015-09-21,s_quant_gate_placebo_sma50_only,US
TRGP,2024-01-25,s_quant_gate_placebo_sma50_only,US
MAR,2021-11-22,s_quant_gate_placebo_sma50_only,US
BSX,2025-11-25,s_quant_gate_placebo_sma50_only,US
HST,2025-11-21,s_quant_gate_placebo_sma50_only,US
INVP.L,2025-10-01,s_quant_gate_placebo_sma50_only,EU
ODFL,2017-03-10,s_quant_gate_placebo_sma50_only,US
HUBB,2022-04-13,s_quant_gate_placebo_sma50_only,US
WEIR.L,2022-09-09,s_quant_gate_placebo_sma50_only,EU
BRBY.L,2026-05-19,s_quant_gate_placebo_sma50_only,EU
TJX,2022-05-19,s_quant_gate_placebo_sma50_only,US
SVT.L,2023-01-03,s_quant_gate_placebo_sma50_only,EU
ABDN.L,2025-11-26,s_quant_gate_placebo_sma50_only,EU
EG,2015-12-21,s_quant_gate_placebo_sma50_only,US
LYV,2021-05-14,s_quant_gate_placebo_sma50_only,US
ECHO,2025-06-16,s_quant_gate_placebo_sma50_only,US
KO,2014-12-23,s_quant_gate_placebo_sma50_only,US
III.L,2024-07-10,s_quant_gate_placebo_sma50_only,EU
G24.DE,2017-11-30,s_quant_gate_placebo_sma50_only,EU
LVS,2018-12-03,s_quant_gate_placebo_sma50_only,US
MRK.DE,2025-09-23,s_quant_gate_placebo_sma50_only,EU
VRT,2025-11-19,s_quant_gate_placebo_sma50_only,US
MNG.L,2024-07-22,s_quant_gate_placebo_sma50_only,EU
TPL,2024-06-05,s_quant_gate_placebo_sma50_only,US
RVTY,2013-10-11,s_quant_gate_placebo_sma50_only,US
IEX,2025-10-02,s_quant_gate_placebo_sma50_only,US
EBAY,2021-05-07,s_quant_gate_placebo_sma50_only,US
CON.DE,2024-01-24,s_quant_gate_placebo_sma50_only,EU
BN.PA,2016-04-14,s_quant_gate_placebo_sma50_only,EU
CMG,2016-09-23,s_quant_gate_placebo_sma50_only,US
BA,2015-04-06,s_quant_gate_placebo_sma50_only,US
CSGP,2024-01-08,s_quant_gate_placebo_sma50_only,US
ERIE,2017-10-02,s_quant_gate_placebo_sma50_only,US
SGO.PA,2024-04-22,s_quant_gate_placebo_sma50_only,EU
EXC,2024-02-21,s_quant_gate_placebo_sma50_only,US
V,2022-01-28,s_quant_gate_placebo_sma50_only,US
ORA.PA,2016-05-18,s_quant_gate_placebo_sma50_only,EU
BRK-B,2015-07-15,s_quant_gate_placebo_sma50_only,US
SYK,2022-07-27,s_quant_gate_placebo_sma50_only,US
SWK,2016-11-10,s_quant_gate_placebo_sma50_only,US
OR.PA,2022-12-21,s_quant_gate_placebo_sma50_only,EU
AGN.AS,2020-05-18,s_quant_gate_placebo_sma50_only,EU
ENGI.PA,2023-02-16,s_quant_gate_placebo_sma50_only,EU
LEN,2024-05-06,s_quant_gate_placebo_sma50_only,US
HWDN.L,2019-07-03,s_quant_gate_placebo_sma50_only,EU
AEE,2022-01-28,s_quant_gate_placebo_sma50_only,US
CVS,2024-06-21,s_quant_gate_placebo_sma50_only,US
FRES.L,2015-06-10,s_quant_gate_placebo_sma50_only,EU
MAA,2021-09-22,s_quant_gate_placebo_sma50_only,US
SU.PA,2014-03-17,s_quant_gate_placebo_sma50_only,EU
PODD,2018-08-20,s_quant_gate_placebo_sma50_only,US
CTAS,2024-05-31,s_quant_gate_placebo_sma50_only,US
MTB,2023-06-27,s_quant_gate_placebo_sma50_only,US
WAT,2019-08-01,s_quant_gate_placebo_sma50_only,US
EVRG,2025-05-20,s_quant_gate_placebo_sma50_only,US
ZBH,2014-04-01,s_quant_gate_placebo_sma50_only,US
ABT,2014-10-21,s_quant_gate_placebo_sma50_only,US
LYB,2015-03-18,s_quant_gate_placebo_sma50_only,US
BTRW.L,2017-02-01,s_quant_gate_placebo_sma50_only,EU
FRT,2018-01-08,s_quant_gate_placebo_sma50_only,US
CCH.L,2024-07-08,s_quant_gate_placebo_sma50_only,EU
CRL,2024-07-12,s_quant_gate_placebo_sma50_only,US
SDR.L,2019-07-16,s_quant_gate_placebo_sma50_only,EU
NEE,2014-10-08,s_quant_gate_placebo_sma50_only,US
STJ.L,2019-02-21,s_quant_gate_placebo_sma50_only,EU
CCH.L,2024-04-19,s_quant_gate_placebo_sma50_only,EU
REN.AS,2020-11-09,s_quant_gate_placebo_sma50_only,EU
HAS,2019-03-01,s_quant_gate_placebo_sma50_only,US
SPGI,2017-08-09,s_quant_gate_placebo_sma50_only,US
EXPE,2014-01-28,s_quant_gate_placebo_sma50_only,US
G24.DE,2023-03-21,s_quant_gate_placebo_sma50_only,EU
ENT.L,2022-09-12,s_quant_gate_placebo_sma50_only,EU
A,2022-05-27,s_quant_gate_placebo_sma50_only,US
PCT.L,2023-01-17,s_quant_gate_placebo_sma50_only,EU
PCAR,2020-04-09,s_quant_gate_placebo_sma50_only,US
BESI.AS,2015-06-23,s_quant_gate_placebo_sma50_only,EU
ALGN,2018-01-05,s_quant_gate_placebo_sma50_only,US
CTSH,2016-01-26,s_quant_gate_placebo_sma50_only,US
SBAC,2014-12-18,s_quant_gate_placebo_sma50_only,US
NTRS,2024-02-29,s_quant_gate_placebo_sma50_only,US
KEY,2018-07-09,s_quant_gate_placebo_sma50_only,US
BKR,2015-05-21,s_quant_gate_placebo_sma50_only,US
KEYS,2024-11-05,s_quant_gate_placebo_sma50_only,US
ITRK.L,2014-08-05,s_quant_gate_placebo_sma50_only,EU
CDW,2022-05-04,s_quant_gate_placebo_sma50_only,US
CIEN,2022-11-29,s_quant_gate_placebo_sma50_only,US
BAYN.DE,2018-10-18,s_quant_gate_placebo_sma50_only,EU
CAH,2015-07-16,s_quant_gate_placebo_sma50_only,US
EXO.AS,2025-06-25,s_quant_gate_placebo_sma50_only,EU
DHR,2023-11-20,s_quant_gate_placebo_sma50_only,US
DLTR,2021-03-19,s_quant_gate_placebo_sma50_only,US
ASM.AS,2021-09-29,s_quant_gate_placebo_sma50_only,EU
HO.PA,2015-09-25,s_quant_gate_placebo_sma50_only,EU
FANG,2023-04-03,s_quant_gate_placebo_sma50_only,US
LYV,2023-11-03,s_quant_gate_placebo_sma50_only,US
ENG.MC,2017-11-28,s_quant_gate_placebo_sma50_only,EU
RAND.AS,2015-10-29,s_quant_gate_placebo_sma50_only,EU
VEEV,2021-03-01,s_quant_gate_placebo_sma50_only,US
HSY,2025-02-18,s_quant_gate_placebo_sma50_only,US
G24.DE,2022-05-19,s_quant_gate_placebo_sma50_only,EU
HCA,2024-05-09,s_quant_gate_placebo_sma50_only,US
NWSA,2017-07-07,s_quant_gate_placebo_sma50_only,US
TPL,2017-10-31,s_quant_gate_placebo_sma50_only,US
SPG,2024-05-07,s_quant_gate_placebo_sma50_only,US
WDC,2025-04-30,s_quant_gate_placebo_sma50_only,US
DG.PA,2026-01-28,s_quant_gate_placebo_sma50_only,EU
XYL,2016-02-04,s_quant_gate_placebo_sma50_only,US
DECK,2020-03-04,s_quant_gate_placebo_sma50_only,US
KR,2020-02-11,s_quant_gate_placebo_sma50_only,US
IP,2022-11-10,s_quant_gate_placebo_sma50_only,US
BRK-B,2022-07-27,s_quant_gate_placebo_sma50_only,US
PNR,2014-06-05,s_quant_gate_placebo_sma50_only,US
ALL,2025-11-07,s_quant_gate_placebo_sma50_only,US
MTS.MC,2025-06-20,s_quant_gate_placebo_sma50_only,EU
IAG.L,2014-08-26,s_quant_gate_placebo_sma50_only,EU
ITW,2024-07-12,s_quant_gate_placebo_sma50_only,US
MTX.DE,2014-03-18,s_quant_gate_placebo_sma50_only,EU
IFF,2025-05-29,s_quant_gate_placebo_sma50_only,US
ADI,2016-10-20,s_quant_gate_placebo_sma50_only,US
CASY,2020-09-24,s_quant_gate_placebo_sma50_only,US
SHL.DE,2022-03-16,s_quant_gate_placebo_sma50_only,EU
BKR,2026-07-27,s_quant_gate_placebo_sma50_only,US
IT,2021-02-03,s_quant_gate_placebo_sma50_only,US
BXP,2018-05-30,s_quant_gate_placebo_sma50_only,US
AOS,2014-04-23,s_quant_gate_placebo_sma50_only,US
PG,2023-03-16,s_quant_gate_placebo_sma50_only,US
CASY,2019-03-12,s_quant_gate_placebo_sma50_only,US
DB1.DE,2021-06-15,s_quant_gate_placebo_sma50_only,EU
KDP,2013-10-16,s_quant_gate_placebo_sma50_only,US
MKC,2018-01-25,s_quant_gate_placebo_sma50_only,US
BATS.L,2025-01-17,s_quant_gate_placebo_sma50_only,EU
HWM,2020-01-27,s_quant_gate_placebo_sma50_only,US
