horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2013,20,0.75,0.0127,0.0301
30,2014,28,0.6429,-0.0007,0.0007
30,2015,25,0.4,0.0164,0.007
30,2016,26,0.6538,-0.013,0.0004
30,2017,26,0.7308,-0.0063,0.0006
30,2018,33,0.4848,0.0113,-0.0032
30,2019,38,0.5789,0.0013,-0.0011
30,2020,27,0.5556,-0.0399,-0.0102
30,2021,27,0.5185,-0.0098,-0.0182
30,2022,36,0.5,0.0097,0.0118
30,2023,30,0.7,0.0078,-0.0007
30,2024,36,0.6389,0.0061,0.0089
30,2025,32,0.5938,-0.0162,0.0038
30,2026,13,0.5385,-0.0347,0.023
60,2013,20,0.85,0.0054,0.0228
60,2014,28,0.7143,0.0095,0.0228
60,2015,25,0.4,-0.0093,-0.0186
60,2016,26,0.7308,0.0224,0.0238
60,2017,26,0.6923,0.0069,0.0083
60,2018,33,0.4242,-0.0236,-0.0096
60,2019,38,0.6579,0.0087,0.0063
60,2020,27,0.5556,-0.0358,-0.0262
60,2021,27,0.6296,-0.0087,-0.0156
60,2022,36,0.6111,0.048,0.0407
60,2023,30,0.6333,-0.0332,-0.0442
60,2024,36,0.6667,0.0153,0.0289
60,2025,32,0.6562,0.0287,0.073
60,2026,10,0.8,0.039,0.1387
90,2013,20,0.8,0.0555,0.0637
90,2014,28,0.75,-0.0151,0.0194
90,2015,25,0.48,0.0143,-0.007
90,2016,26,0.8462,-0.011,0.0253
90,2017,26,0.6538,0.0292,0.0137
90,2018,33,0.4848,-0.0194,-0.0229
90,2019,38,0.6579,0.021,0.0115
90,2020,27,0.5556,-0.0941,-0.0578
90,2021,27,0.6667,-0.0021,0.0031
90,2022,36,0.6667,0.0738,0.0659
90,2023,30,0.7,-0.0217,-0.0241
90,2024,36,0.6389,-0.0011,0.0139
90,2025,32,0.6562,0.0431,0.0796
90,2026,5,0.6,-0.0083,0.1019
