ticker,event_date,setup_type,region
DVA,2014-11-11,s_quant_gate_placebo_sma_both_norsi,US
ANET,2024-05-08,s_quant_gate_placebo_sma_both_norsi,US
PH,2026-04-08,s_quant_gate_placebo_sma_both_norsi,US
NDAQ,2018-02-14,s_quant_gate_placebo_sma_both_norsi,US
MCHP,2024-06-18,s_quant_gate_placebo_sma_both_norsi,US
FE,2014-05-28,s_quant_gate_placebo_sma_both_norsi,US
DHI,2019-05-30,s_quant_gate_placebo_sma_both_norsi,US
CRH,2025-03-05,s_quant_gate_placebo_sma_both_norsi,US
DB1.DE,2015-12-29,s_quant_gate_placebo_sma_both_norsi,EU
ARES,2016-05-02,s_quant_gate_placebo_sma_both_norsi,US
APO,2025-05-12,s_quant_gate_placebo_sma_both_norsi,US
CVS,2014-08-04,s_quant_gate_placebo_sma_both_norsi,US
MA,2019-11-08,s_quant_gate_placebo_sma_both_norsi,US
MO,2017-07-14,s_quant_gate_placebo_sma_both_norsi,US
SAB.MC,2015-03-24,s_quant_gate_placebo_sma_both_norsi,EU
AOS,2020-05-08,s_quant_gate_placebo_sma_both_norsi,US
KIM,2015-03-30,s_quant_gate_placebo_sma_both_norsi,US
CPG.L,2024-07-23,s_quant_gate_placebo_sma_both_norsi,EU
MAR,2022-10-28,s_quant_gate_placebo_sma_both_norsi,US
HLN.L,2026-08-05,s_quant_gate_placebo_sma_both_norsi,EU
PM,2018-01-24,s_quant_gate_placebo_sma_both_norsi,US
ADI,2024-03-20,s_quant_gate_placebo_sma_both_norsi,US
GPN,2015-07-01,s_quant_gate_placebo_sma_both_norsi,US
DB1.DE,2024-08-14,s_quant_gate_placebo_sma_both_norsi,EU
TYL,2016-09-01,s_quant_gate_placebo_sma_both_norsi,US
PM,2014-04-08,s_quant_gate_placebo_sma_both_norsi,US
GLW,2023-01-04,s_quant_gate_placebo_sma_both_norsi,US
LUV,2015-03-11,s_quant_gate_placebo_sma_both_norsi,US
TT,2021-02-03,s_quant_gate_placebo_sma_both_norsi,US
