horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2014,29,0.6552,0.004,0.0038
30,2015,33,0.5455,0.0137,0.0217
30,2016,27,0.4815,-0.0194,-0.0202
30,2017,31,0.5484,-0.0191,-0.0218
30,2018,38,0.5789,0.0066,0.0168
30,2019,24,0.7917,0.0067,0.0088
30,2020,23,0.6087,-0.0124,0.0086
30,2021,41,0.6098,-0.008,-0.0128
30,2022,35,0.3429,-0.0131,0.0078
30,2023,31,0.6774,0.016,0.024
30,2024,33,0.5152,-0.0155,-0.0083
30,2025,31,0.4194,-0.0335,-0.0128
30,2026,15,0.6667,-0.0142,-0.031
60,2014,29,0.6552,-0.0012,-0.002
60,2015,33,0.3939,-0.0092,0.0037
60,2016,27,0.7407,-0.0214,-0.0092
60,2017,31,0.5806,-0.028,-0.0077
60,2018,38,0.5789,0.0136,0.0151
60,2019,24,0.7083,-0.0216,-0.0159
60,2020,23,0.7826,0.008,0.0214
60,2021,41,0.5854,-0.0301,-0.0095
60,2022,35,0.4,-0.0002,0.0266
60,2023,31,0.6452,-0.0041,-0.0105
60,2024,33,0.5758,-0.0294,-0.0147
60,2025,31,0.3548,-0.0498,-0.031
60,2026,12,0.5,0.0086,-0.022
90,2014,29,0.7586,0.0116,0.013
90,2015,33,0.5455,0.023,0.0183
90,2016,27,0.6296,-0.0351,-0.0095
90,2017,31,0.6129,-0.0176,0.0068
90,2018,38,0.7368,0.0229,0.0166
90,2019,24,0.625,-0.0062,-0.0178
90,2020,23,0.8261,0.0061,0.0542
90,2021,41,0.6098,-0.054,-0.024
90,2022,35,0.3714,-0.0017,0.0257
90,2023,31,0.5484,-0.0319,-0.0395
90,2024,33,0.5758,-0.0433,-0.0313
90,2025,31,0.5161,-0.0181,0.021
90,2026,7,0.5714,-0.0187,-0.0359
