horizon,year,n,win_rate,median_edge_vs_spy,mean_edge_vs_spy
30,2014,29,0.6207,0.0152,0.01
30,2015,27,0.6296,0.0024,0.0106
30,2016,32,0.6875,-0.0013,-0.0153
30,2017,39,0.7436,0.0085,0.0066
30,2018,18,0.4444,-0.0009,0.0066
30,2019,34,0.4706,-0.0155,-0.0101
30,2020,25,0.68,0.0151,0.0026
30,2021,37,0.6486,0.0165,0.0045
30,2022,23,0.4348,-0.0149,-0.005
30,2023,46,0.4565,-0.0246,-0.0214
30,2024,41,0.6341,-0.0137,0.0028
30,2025,27,0.4815,-0.0372,-0.013
30,2026,21,0.4762,-0.0007,-0.0113
60,2014,29,0.6552,0.0057,0.0191
60,2015,27,0.5556,0.0032,0.0082
60,2016,32,0.6875,0.0068,-0.0013
60,2017,39,0.7949,0.0053,0.0325
60,2018,18,0.4444,-0.0316,-0.0069
60,2019,34,0.5588,-0.024,0.0002
60,2020,25,0.68,0.0461,0.0171
60,2021,37,0.5946,-0.0021,-0.0027
60,2022,23,0.3913,-0.0206,0.0156
60,2023,46,0.5217,-0.0298,-0.0439
60,2024,41,0.7561,0.0299,0.0427
60,2025,27,0.4444,-0.0402,-0.0264
60,2026,17,0.5882,-0.0173,-0.0319
90,2014,29,0.5862,-0.0176,0.009
90,2015,27,0.5556,0.0004,0.006
90,2016,32,0.75,0.0143,0.0269
90,2017,39,0.7692,-0.005,0.0276
90,2018,18,0.3333,-0.0711,-0.0191
90,2019,34,0.5,-0.0588,-0.031
90,2020,25,0.72,0.0676,0.0271
90,2021,37,0.5405,-0.0277,0.0024
90,2022,23,0.3913,-0.0246,0.0044
90,2023,46,0.6304,-0.0558,-0.0427
90,2024,41,0.7317,0.0068,0.0602
90,2025,27,0.4815,-0.0437,-0.0544
90,2026,8,0.375,-0.1082,0.0066
